,name,Length Of Movie (minute),year,idbm_year,gender_director,director_1,writer_1,writer_2,writer_3,star_1,star_2,star_3,genre_1,genre_2,genre_3,rating
7213,Beauty and the Beast,129.0,2017,2017,1,Bill Condon,Stephen Chbosky,Evan Spiliotopoulos,Linda Woolverton,Emma Watson,Dan Stevens,Luke Evans,Adventure,Family,Fantasy,7.1
7214,Song to Song,129.0,2017,2017,1,Terrence Malick,Terrence Malick,,,Ryan Gosling,Rooney Mara,Michael Fassbender,Drama,Music,Romance,5.6
7215,Atomica,115.0,2017,2017,1,David Leitch,Kurt Johnstad,Antony Johnston,Sam Hart,Charlize Theron,James McAvoy,John Goodman,Action,Thriller,,6.7
7216,All Nighter,86.0,2017,2017,1,Gavin Wiesen,Seth W. Owen,,,Lio Tipton,Emile Hirsch,J.K. Simmons,Comedy,Drama,,5.8
7217,Life,104.0,2017,2017,1,Daniel Espinosa,Rhett Reese,Paul Wernick,,Jake Gyllenhaal,Rebecca Ferguson,Ryan Reynolds,Horror,Sci-Fi,Thriller,6.6
7218,Wilson,94.0,2017,2017,1,Craig Johnson,Daniel Clowes,,,Woody Harrelson,Sandra Lee-Oian Thomas,Shaun J. Brown,Comedy,Drama,,5.8
7219,Ghost in the Shell,107.0,2017,2017,1,Rupert Sanders,Shirow Masamune,Jamie Moss,William Wheeler,Scarlett Johansson,Pilou Asbæk,Takeshi Kitano,Action,Crime,Drama,6.3
7220,The Boss Baby,97.0,2017,2017,1,Tom McGrath,Michael McCullers,Marla Frazee,,Alec Baldwin,Steve Buscemi,Jimmy Kimmel,Animation,Adventure,Comedy,6.3
7221,The Zookeeper's Wife,127.0,2017,2017,0,Niki Caro,Angela Workman,Diane Ackerman,,Jessica Chastain,Johan Heldenbergh,Daniel Brühl,Biography,Drama,History,7.0
7222,The Discovery,102.0,2017,2017,1,Charlie McDowell,Charlie McDowell,Justin Lader,,Robert Redford,Mary Steenburgen,Brian McCarthy,Drama,Romance,Sci-Fi,6.3
7223,The Case for Christ,112.0,2017,2017,1,Jon Gunn,Brian Bird,Lee Strobel,,L. Scott Caldwell,Erika Christensen,Faye Dunaway,Biography,Drama,,6.4
7224,Smurfs: The Lost Village,90.0,2017,2017,1,Kelly Asbury,Stacey Harman,Pamela Ribon,Peyo,Demi Lovato,Rainn Wilson,Joe Manganiello,Animation,Adventure,Comedy,6.0
7225,Going in Style,96.0,2017,2017,1,Zach Braff,Theodore Melfi,Edward Cannon,,Michael Caine,Alan Arkin,Ann-Margret,Comedy,Crime,,6.6
7226,Gifted,101.0,2017,2017,1,Marc Webb,Tom Flynn,,,Chris Evans,Mckenna Grace,Lindsay Duncan,Drama,,,7.6
7227,The Fate of the Furious,136.0,2017,2017,1,F. Gary Gray,Gary Scott Thompson,Chris Morgan,,Vin Diesel,Jason Statham,Dwayne Johnson,Action,Crime,Thriller,6.6
7228,The Outcasts,95.0,2017,2017,1,Peter Hutchings,Dominique Ferrari,Suzanne Wrubel,,Victoria Justice,Eden Sher,Ashley Rickards,Comedy,,,5.5
7229,The Circle,110.0,2017,2017,1,James Ponsoldt,James Ponsoldt,Dave Eggers,,Emma Watson,Tom Hanks,John Boyega,Drama,Sci-Fi,Thriller,5.4
7230,How to Be a Latin Lover,115.0,2017,2017,1,Ken Marino,Jon Zack,Chris Spain,,Eugenio Derbez,Salma Hayek,Raphael Alejandro,Comedy,Drama,,6.0
7231,Becoming Bond,95.0,2017,2017,1,Josh Greenbaum,Josh Greenbaum,,,George Lazenby,Josh Lawson,Kassandra Clementi,Documentary,Biography,Comedy,7.5
7232,Guardians of the Galaxy Vol. 2,136.0,2017,2017,1,James Gunn,James Gunn,Dan Abnett,Andy Lanning,Chris Pratt,Zoe Saldana,Dave Bautista,Action,Adventure,Comedy,7.6
7233,King Arthur: Legend of the Sword,126.0,2017,2017,1,Guy Ritchie,Joby Harold,Guy Ritchie,Lionel Wigram,Charlie Hunnam,Astrid Bergès-Frisbey,Jude Law,Action,Adventure,Drama,6.7
7234,Snatched,90.0,2017,2017,1,Jonathan Levine,Katie Dippold,,,Amy Schumer,Goldie Hawn,Kim Caramele,Action,Adventure,Comedy,4.5
7235,Alien: Covenant,122.0,2017,2017,1,Ridley Scott,Dan O'Bannon,Ronald Shusett,Jack Paglen,Michael Fassbender,Katherine Waterston,Billy Crudup,Horror,Sci-Fi,Thriller,6.4
7236,Diary of a Wimpy Kid: The Long Haul,91.0,2017,2017,1,David Bowers,Jeff Kinney,David Bowers,,Jason Drucker,Alicia Silverstone,Tom Everett Scott,Adventure,Comedy,Family,4.2
7237,"Everything, Everything",96.0,2017,2017,0,Stella Meghie,J. Mills Goodloe,Nicola Yoon,,Amandla Stenberg,Nick Robinson,Anika Noni Rose,Drama,Romance,,6.4
7238,Pirates of the Caribbean: Dead Men Tell No Tales,129.0,2017,2017,1,Joachim Rønning,Jeff Nathanson,Terry Rossio,Ted Elliott,Johnny Depp,Geoffrey Rush,Javier Bardem,Action,Adventure,Fantasy,6.5
7239,War Machine,122.0,2017,2017,1,David Michôd,Michael Hastings,David Michôd,,Brad Pitt,Daniel Betts,John Magaro,Comedy,Drama,War,6.0
7240,Wonder Woman,141.0,2017,2017,0,Patty Jenkins,Allan Heinberg,Zack Snyder,Jason Fuchs,Gal Gadot,Chris Pine,Robin Wright,Action,Adventure,Fantasy,7.4
7241,Captain Underpants: The First Epic Movie,89.0,2017,2017,1,David Soren,Nicholas Stoller,Dav Pilkey,David Soren,Kevin Hart,Thomas Middleditch,Ed Helms,Animation,Action,Adventure,6.2
7242,It Comes at Night,91.0,2017,2017,1,Trey Edward Shults,Trey Edward Shults,,,Joel Edgerton,Christopher Abbott,Carmen Ejogo,Drama,Horror,Mystery,6.2
7243,My Cousin Rachel,106.0,2017,2017,1,Roger Michell,Roger Michell,Daphne Du Maurier,,Rachel Weisz,Sam Claflin,Holliday Grainger,Drama,Mystery,Romance,6.0
7244,Megan Leavey,116.0,2017,2017,1,Gabriela Cowperthwaite,Pamela Gray,Annie Mumolo,Tim Lovestedt,Kate Mara,Ramon Rodriguez,Tom Felton,Action,Biography,Drama,7.1
7245,Beatriz at Dinner,82.0,2017,2017,1,Miguel Arteta,Mike White,,,Salma Hayek,John Lithgow,Connie Britton,Comedy,Drama,,6.0
7246,Cars 3,102.0,2017,2017,1,Brian Fee,Brian Fee,Ben Queen,Eyal Podell,Owen Wilson,Cristela Alonzo,Chris Cooper,Animation,Adventure,Comedy,6.7
7247,Rough Night,101.0,2017,2017,0,Lucia Aniello,Lucia Aniello,Paul W. Downs,,Scarlett Johansson,Kate McKinnon,Zoë Kravitz,Comedy,,,5.2
7248,All Eyez on Me,139.0,2017,2017,1,Benny Boom,Jeremy Haft,Eddie Gonzalez,Steven Bagatourian,Demetrius Shipp Jr.,Danai Gurira,Kat Graham,Biography,Drama,Music,5.9
7249,47 Meters Down,89.0,2017,2017,1,Johannes Roberts,Johannes Roberts,Ernest Riera,,Mandy Moore,Claire Holt,Matthew Modine,Adventure,Drama,Horror,5.7
7250,The Book of Henry,105.0,2017,2017,1,Colin Trevorrow,Gregg Hurwitz,,,Naomi Watts,Jaeden Martell,Jacob Tremblay,Crime,Drama,Thriller,6.6
7251,Transformers: The Last Knight,154.0,2017,2017,1,Michael Bay,Art Marcum,Matt Holloway,Ken Nolan,Mark Wahlberg,Anthony Hopkins,Josh Duhamel,Action,Adventure,Sci-Fi,5.2
7252,The Beguiled,93.0,2017,2017,0,Sofia Coppola,Sofia Coppola,Thomas Cullinan,Albert Maltz,Nicole Kidman,Kirsten Dunst,Elle Fanning,Drama,Thriller,War,6.3
7253,The Big Sick,1.0,2017,2017,1,Michael Showalter,Emily V. Gordon,Kumail Nanjiani,,Kumail Nanjiani,Zoe Kazan,Holly Hunter,Comedy,Drama,Romance,7.5
7254,Baby Driver,113.0,2017,2017,1,Edgar Wright,Edgar Wright,,,Ansel Elgort,Jon Bernthal,Jon Hamm,Action,Crime,Drama,7.6
7255,Okja,1.0,2017,2017,1,Bong Joon Ho,Bong Joon Ho,Jon Ronson,,Tilda Swinton,Paul Dano,Seo-hyun Ahn,Action,Adventure,Drama,7.3
7256,Despicable Me 3,89.0,2017,2017,1,Kyle Balda,Cinco Paul,Ken Daurio,,Steve Carell,Kristen Wiig,Trey Parker,Animation,Adventure,Comedy,6.3
7257,The Little Hours,90.0,2017,2017,1,Jeff Baena,Giovanni Boccaccio,Jeff Baena,,Alison Brie,Dave Franco,Kate Micucci,Comedy,Romance,,5.8
7258,Inconceivable,105.0,2017,2017,1,Jonathan Baker,Chloe King,,,Gina Gershon,Nicky Whelan,Nicolas Cage,Drama,Thriller,,5.2
7259,2:22,98.0,2017,2017,1,Paul Currie,Todd Stein,Nathan Parker,,Michiel Huisman,Teresa Palmer,Sam Reid,Drama,Mystery,Romance,5.8
7260,A Ghost Story,92.0,2017,2017,1,David Lowery,David Lowery,,,Casey Affleck,Rooney Mara,McColm Cephas Jr.,Drama,Fantasy,Romance,6.9
7261,Spider-Man: Homecoming,133.0,2017,2017,1,Jon Watts,Jonathan Goldstein,John Francis Daley,Jon Watts,Tom Holland,Michael Keaton,Robert Downey Jr.,Action,Adventure,Sci-Fi,7.4
7262,War for the Planet of the Apes,140.0,2017,2017,1,Matt Reeves,Mark Bomback,Matt Reeves,Rick Jaffa,Andy Serkis,Woody Harrelson,Steve Zahn,Action,Adventure,Drama,7.4
7263,Wish Upon,90.0,2017,2017,1,John R. Leonetti,Barbara Marshall,,,Joey King,Ryan Phillippe,Ki Hong Lee,Drama,Fantasy,Horror,5.0
7264,Dunkirk,106.0,2017,2017,1,Christopher Nolan,Christopher Nolan,,,Fionn Whitehead,Barry Keoghan,Mark Rylance,Action,Drama,History,7.8
7265,Girls Trip,122.0,2017,2017,1,Malcolm D. Lee,Erica Rivinoja,Kenya Barris,Tracy Oliver,Regina Hall,Queen Latifah,Jada Pinkett Smith,Adventure,Comedy,Drama,6.2
7266,First Kill,97.0,2017,2017,1,Steven C. Miller,Nick Gordon,,,Bruce Willis,Hayden Christensen,Ty Shelton,Action,Thriller,,5.0
7267,Atomic Blonde,115.0,2017,2017,1,David Leitch,Kurt Johnstad,Antony Johnston,Sam Hart,Charlize Theron,James McAvoy,John Goodman,Action,Thriller,,6.7
7268,The Emoji Movie,86.0,2017,2017,1,Tony Leondis,Tony Leondis,Eric Siegel,Mike White,T.J. Miller,James Corden,Anna Faris,Animation,Adventure,Comedy,3.3
7269,An Inconvenient Sequel: Truth to Power,98.0,2017,2017,0,Bonni Cohen,Al Gore,,,Al Gore,Cory Booker,George W. Bush,Documentary,,,6.4
7270,Detroit,143.0,2017,2017,0,Kathryn Bigelow,Mark Boal,,,John Boyega,Anthony Mackie,Algee Smith,Crime,Drama,History,7.3
7271,Brigsby Bear,97.0,2017,2017,1,Dave McCary,Kevin Costello,Kyle Mooney,,Kyle Mooney,Jorge Lendeborg Jr.,Matt Walsh,Comedy,Drama,,7.3
7272,Menashe,82.0,2017,2017,1,Joshua Z Weinstein,Alex Lipschultz,Musa Syeed,Joshua Z Weinstein,Menashe Lustig,Josh Alpert,Abraham Bresky,Drama,,,6.5
7273,The Dark Tower,95.0,2017,2017,1,Nikolaj Arcel,Akiva Goldsman,Jeff Pinkner,Anders Thomas Jensen,Idris Elba,Matthew McConaughey,Tom Taylor,Action,Adventure,Fantasy,5.6
7274,Kidnap,95.0,2017,2017,1,Luis Prieto,Knate Lee,,,Halle Berry,Sage Correa,Chris McGinn,Action,Crime,Drama,5.9
7275,Wind River,107.0,2017,2017,1,Taylor Sheridan,Taylor Sheridan,,,Elizabeth Olsen,Jeremy Renner,Graham Greene,Crime,Drama,Mystery,7.7
7276,Armed Response,93.0,2017,2017,1,John Stockwell,Matt Savelloni,,,Wesley Snipes,Anne Heche,Dave Annable,Action,Horror,Thriller,3.8
7277,Annabelle: Creation,109.0,2017,2017,1,David F. Sandberg,Gary Dauberman,,,Anthony LaPaglia,Samara Lee,Miranda Otto,Horror,Mystery,Thriller,6.5
7278,The Glass Castle,127.0,2017,2017,1,Destin Daniel Cretton,Destin Daniel Cretton,Andrew Lanham,Jeannette Walls,Brie Larson,Woody Harrelson,Naomi Watts,Biography,Drama,,7.1
7279,The Nut Job 2: Nutty by Nature,91.0,2017,2017,1,Cal Brunker,Scott Bindley,Cal Brunker,Bob Barlen,Will Arnett,Maya Rudolph,Bobby Cannavale,Animation,Adventure,Comedy,5.5
7280,Good Time,102.0,2017,2017,1,Benny Safdie,Ronald Bronstein,Josh Safdie,,Robert Pattinson,Benny Safdie,Jennifer Jason Leigh,Crime,Drama,Thriller,7.4
7281,Ingrid Goes West,98.0,2017,2017,1,Matt Spicer,David Branson Smith,Matt Spicer,,Aubrey Plaza,Elizabeth Olsen,O'Shea Jackson Jr.,Comedy,Drama,,6.6
7282,The Only Living Boy in New York,89.0,2017,2017,1,Marc Webb,Allan Loeb,,,Callum Turner,Kate Beckinsale,Pierce Brosnan,Drama,,,6.4
7283,The Hitman's Bodyguard,118.0,2017,2017,1,Patrick Hughes,Tom O'Connor,,,Ryan Reynolds,Samuel L. Jackson,Gary Oldman,Action,Comedy,Crime,6.9
7284,Logan Lucky,118.0,2017,2017,1,Steven Soderbergh,Jules Asner,,,Channing Tatum,Adam Driver,Daniel Craig,Action,Comedy,Crime,7.0
7285,Patti Cake$,109.0,2017,2017,1,Geremy Jasper,Geremy Jasper,,,Danielle Macdonald,Sahr Ngaujah,Bridget Everett,Drama,Music,,6.8
7286,Victor Crowley,83.0,2017,2017,1,Adam Green,Adam Green,,,Parry Shen,Kane Hodder,Laura Ortiz,Action,Comedy,Horror,5.5
7287,Beach Rats,98.0,2017,2017,1,Eliza Hittman,Eliza Hittman,,,Harris Dickinson,Madeline Weinstein,Kate Hodge,Drama,,,6.4
7288,Film Stars Don't Die in Liverpool,105.0,2017,2017,1,Paul McGuigan,Peter Turner,Matt Greenhalgh,,Annette Bening,Jamie Bell,Kenneth Cranham,Biography,Drama,Romance,6.7
7289,Tulip Fever,105.0,2017,2017,1,Justin Chadwick,Deborah Moggach,Tom Stoppard,,Alicia Vikander,Dane DeHaan,Jack O'Connell,Drama,History,Romance,6.2
7290,Unlocked,98.0,2017,2017,1,Michael Apted,Peter O'Brien,,,Noomi Rapace,Orlando Bloom,Toni Collette,Action,Thriller,,6.3
7291,It,135.0,2017,2017,1,Andy Muschietti,Chase Palmer,Cary Joji Fukunaga,Gary Dauberman,Bill Skarsgård,Jaeden Martell,Finn Wolfhard,Horror,,,7.3
7292,Home Again,97.0,2017,2017,1,Hallie Meyers-Shyer,Hallie Meyers-Shyer,,,Reese Witherspoon,Michael Sheen,Candice Bergen,Comedy,Drama,Romance,5.8
7293,9/11,90.0,2017,2017,1,Martin Guigui,Martin Guigui,Steven James Golebiowski,Patrick James Carson,Charlie Sheen,Gina Gershon,Whoopi Goldberg,Action,,,4.3
7294,The Good Catholic,98.0,2017,2017,1,Paul Shoulberg,Paul Shoulberg,,,Zachary Spicer,Wrenn Schmidt,Danny Glover,Comedy,Drama,,5.3
7295,Gun Shy,92.0,2017,2017,1,Simon West,Mark Haskell Smith,Toby Davies,,Antonio Banderas,Olga Kurylenko,Ben Cura,Action,Comedy,Thriller,4.1
7296,American Assassin,111.0,2017,2017,1,Michael Cuesta,Stephen Schiff,Michael Finch,Edward Zwick,Dylan O'Brien,Michael Keaton,Sanaa Lathan,Action,Thriller,,6.2
7297,Mother!,121.0,2017,2017,1,Darren Aronofsky,Darren Aronofsky,,,Jennifer Lawrence,Javier Bardem,Ed Harris,Drama,Horror,Mystery,6.6
7298,Brad's Status,102.0,2017,2017,1,Mike White,Mike White,,,Ben Stiller,Austin Abrams,Jenna Fischer,Comedy,Drama,Music,6.5
7299,Kingsman: The Golden Circle,141.0,2017,2017,1,Matthew Vaughn,Jane Goldman,Matthew Vaughn,Mark Millar,Taron Egerton,Colin Firth,Mark Strong,Action,Adventure,Comedy,6.7
7300,The Lego Ninjago Movie,101.0,2017,2017,1,Charlie Bean,Bob Logan,Paul Fisher,William Wheeler,Jackie Chan,Dave Franco,Fred Armisen,Animation,Action,Adventure,6.0
7301,Stronger,119.0,2017,2017,1,David Gordon Green,John Pollono,Jeff Bauman,Bret Witter,Jake Gyllenhaal,Tatiana Maslany,Miranda Richardson,Biography,Drama,,6.9
7302,Battle of the Sexes,121.0,2017,2017,1,Jonathan Dayton,Simon Beaufoy,,,Emma Stone,Steve Carell,Andrea Riseborough,Biography,Comedy,Drama,6.7
7303,Woodshock,100.0,2017,2017,1,Kate Mulleavy,Kate Mulleavy,Laura Mulleavy,,Kirsten Dunst,Joe Cole,Pilou Asbæk,Drama,Fantasy,Horror,4.3
7304,Victoria & Abdul,111.0,2017,2017,1,Stephen Frears,Lee Hall,Shrabani Basu,,Judi Dench,Ali Fazal,Tim Pigott-Smith,Biography,Drama,History,6.8
7305,Jeepers Creepers 3,100.0,2017,2017,1,Victor Salva,Victor Salva,,,Stan Shaw,Gabrielle Haugh,Brandon Smith,Horror,,,3.9
7306,American Made,115.0,2017,2017,1,Doug Liman,Gary Spinelli,,,Tom Cruise,Domhnall Gleeson,Sarah Wright,Action,Comedy,Crime,7.2
7307,Flatliners,109.0,2017,2017,1,Niels Arden Oplev,Peter Filardi,Ben Ripley,,Elliot Page,Diego Luna,Nina Dobrev,Drama,Horror,Mystery,5.2
7308,Mark Felt: The Man Who Brought Down the White House,103.0,2017,2017,1,Peter Landesman,Mark Felt,John D. O'Connor,Peter Landesman,Liam Neeson,Diane Lane,Marton Csokas,Biography,Drama,History,6.4
7309,Blade Runner 2049,164.0,2017,2017,1,Denis Villeneuve,Hampton Fancher,Michael Green,Philip K. Dick,Harrison Ford,Ryan Gosling,Ana de Armas,Action,Drama,Mystery,8.0
7310,The Mountain Between Us,112.0,2017,2017,1,Hany Abu-Assad,Chris Weitz,J. Mills Goodloe,Charles Martin,Kate Winslet,Idris Elba,Beau Bridges,Action,Adventure,Drama,6.4
7311,My Little Pony: The Movie,99.0,2017,2017,1,Jayson Thiessen,Meghan McCarthy,Joe Ballarini,Rita Hsiao,Emily Blunt,Kristin Chenoweth,Liev Schreiber,Animation,Adventure,Comedy,6.2
7312,The Florida Project,111.0,2017,2017,1,Sean Baker,Sean Baker,Chris Bergoch,,Brooklynn Prince,Bria Vinaite,Willem Dafoe,Drama,,,7.6
7313,Brawl in Cell Block 99,132.0,2017,2017,1,S. Craig Zahler,S. Craig Zahler,,,Vince Vaughn,Jennifer Carpenter,Don Johnson,Action,Crime,Drama,7.2
7314,Happy Death Day,96.0,2017,2017,1,Christopher Landon,Scott Lobdell,,,Jessica Rothe,Israel Broussard,Ruby Modine,Comedy,Horror,Mystery,6.6
7315,Marshall,118.0,2017,2017,1,Reginald Hudlin,Michael Koskoff,Jacob Koskoff,,Chadwick Boseman,Josh Gad,Kate Hudson,Biography,Crime,Drama,7.3
7316,Breathe,118.0,2017,2017,1,Andy Serkis,William Nicholson,,,Andrew Garfield,Claire Foy,Hugh Bonneville,Biography,Drama,Romance,7.2
7317,Goodbye Christopher Robin,107.0,2017,2017,1,Simon Curtis,Frank Cottrell Boyce,Simon Vaughan,,Domhnall Gleeson,Margot Robbie,Kelly Macdonald,Biography,Drama,Family,7.1
7318,Professor Marston and the Wonder Women,108.0,2017,2017,0,Angela Robinson,Angela Robinson,,,Luke Evans,Rebecca Hall,Bella Heathcote,Biography,Drama,History,7.1
7319,Geostorm,109.0,2017,2017,1,Dean Devlin,Dean Devlin,Paul Guyot,,Gerard Butler,Jim Sturgess,Abbie Cornish,Action,Sci-Fi,Thriller,5.3
7320,Only the Brave,134.0,2017,2017,1,Joseph Kosinski,Sean Flynn,Ken Nolan,Eric Warren Singer,Josh Brolin,Miles Teller,Jeff Bridges,Action,Biography,Drama,7.6
7321,Boo 2! A Madea Halloween,101.0,2017,2017,1,Tyler Perry,Tyler Perry,Brian Schulman,,Tyler Perry,Cassi Davis,Patrice Lovely,Comedy,Drama,Horror,3.9
7322,Same Kind of Different as Me,119.0,2017,2017,1,Michael Carney,Ron Hall,Denver Moore,Lynn Vincent,Greg Kinnear,Renée Zellweger,Djimon Hounsou,Biography,Drama,,6.7
7323,Wonderstruck,116.0,2017,2017,1,Todd Haynes,Brian Selznick,,,Oakes Fegley,Julianne Moore,Michelle Williams,Adventure,Drama,Mystery,6.2
7324,The Killing of a Sacred Deer,121.0,2017,2017,1,Yorgos Lanthimos,Yorgos Lanthimos,Efthymis Filippou,,Barry G. Bernson,Herb Caillouet,Bill Camp,Drama,Horror,Mystery,7.0
7325,Thank You for Your Service,109.0,2017,2017,1,Jason Hall,David Finkel,Jason Hall,,Miles Teller,Beulah Koale,Joe Cole,Biography,Drama,War,6.6
7326,Suburbicon,105.0,2017,2017,1,George Clooney,Joel Coen,Ethan Coen,George Clooney,Matt Damon,Julianne Moore,Oscar Isaac,Comedy,Crime,Drama,5.7
7327,Novitiate,123.0,2017,2017,1,Maggie Betts,Maggie Betts,,,Melissa Leo,Lisa Stewart,Alyssa Brindley,Drama,,,6.7
7328,Amityville: The Awakening,87.0,2017,2017,1,Franck Khalfoun,Franck Khalfoun,,,Jennifer Jason Leigh,Bella Thorne,Mckenna Grace,Horror,Thriller,,4.8
7329,Thor: Ragnarok,130.0,2017,2017,1,Taika Waititi,Eric Pearson,Craig Kyle,Christopher L. Yost,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Action,Adventure,Comedy,7.9
7330,A Bad Moms Christmas,104.0,2017,2017,1,Jon Lucas,Jon Lucas,Scott Moore,,Mila Kunis,Kristen Bell,Kathryn Hahn,Comedy,,,5.6
7331,Last Flag Flying,125.0,2017,2017,1,Richard Linklater,Richard Linklater,Darryl Ponicsan,,Bryan Cranston,Laurence Fishburne,Steve Carell,Comedy,Drama,War,6.9
7332,Lady Bird,94.0,2017,2017,0,Greta Gerwig,Greta Gerwig,,,Saoirse Ronan,Laurie Metcalf,Tracy Letts,Comedy,Drama,,7.4
7333,Murder on the Orient Express,114.0,2017,2017,1,Kenneth Branagh,Michael Green,Agatha Christie,,Kenneth Branagh,Penélope Cruz,Willem Dafoe,Crime,Drama,Mystery,6.5
7334,Daddy's Home 2,100.0,2017,2017,1,Sean Anders,Sean Anders,John Morris,Brian Burns,Will Ferrell,Mark Wahlberg,Mel Gibson,Comedy,,,6.0
7335,"Three Billboards Outside Ebbing, Missouri",115.0,2017,2017,1,Martin McDonagh,Martin McDonagh,,,Frances McDormand,Woody Harrelson,Sam Rockwell,Comedy,Crime,Drama,8.1
7336,Mayhem,86.0,2017,2017,1,Joe Lynch,Matias Caruso,,,Steven Yeun,Samara Weaving,Steven Brand,Action,Comedy,Horror,6.4
7337,Justice League,1.0,2017,2017,1,Zack Snyder,Jerry Siegel,Joe Shuster,Chris Terrio,Ben Affleck,Gal Gadot,Jason Momoa,Action,Adventure,Fantasy,6.1
7338,The Star,86.0,2017,2017,1,Timothy Reckart,Carlos Kotkin,Simon Moore,,Steven Yeun,Keegan-Michael Key,Aidy Bryant,Animation,Adventure,Comedy,6.3
7339,Wonder,113.0,2017,2017,1,Stephen Chbosky,Stephen Chbosky,Steve Conrad,Jack Thorne,Jacob Tremblay,Owen Wilson,Izabela Vidovic,Drama,Family,,8.0
7340,Mr. Roosevelt,90.0,2017,2017,1,Noël Wells,Noël Wells,,,Noël Wells,Nick Thune,Britt Lower,Comedy,,,6.3
7341,"Roman J. Israel, Esq.",122.0,2017,2017,1,Dan Gilroy,Dan Gilroy,,,Denzel Washington,Colin Farrell,Carmen Ejogo,Crime,Drama,Thriller,6.5
7342,Darkest Hour,125.0,2017,2017,1,Joe Wright,Anthony McCarten,,,Gary Oldman,Lily James,Kristin Scott Thomas,Biography,Drama,War,7.4
7343,The Man Who Invented Christmas,104.0,2017,2017,1,Bharat Nalluri,Susan Coyne,Les Standiford,Charles Dickens,Dan Stevens,Mark Schrier,Patrick Joseph Byrnes,Biography,Comedy,Drama,7.0
7344,Call Me by Your Name,132.0,2017,2017,1,Luca Guadagnino,James Ivory,André Aciman,,Armie Hammer,Timothée Chalamet,Michael Stuhlbarg,Drama,Romance,,7.9
7345,The Disaster Artist,104.0,2017,2017,1,James Franco,Scott Neustadter,Michael H. Weber,Greg Sestero,James Franco,Dave Franco,Ari Graynor,Biography,Comedy,Drama,7.3
7346,The Shape of Water,123.0,2017,2017,1,Guillermo del Toro,Guillermo del Toro,Vanessa Taylor,,Sally Hawkins,Octavia Spencer,Michael Shannon,Drama,Fantasy,Romance,7.3
7347,Wonder Wheel,101.0,2017,2017,1,Woody Allen,Woody Allen,,,Justin Timberlake,Juno Temple,Robert C. Kirk,Drama,Romance,,6.2
7348,"I, Tonya",119.0,2017,2017,1,Craig Gillespie,Steven Rogers,,,Margot Robbie,Sebastian Stan,Allison Janney,Biography,Comedy,Drama,7.5
7349,Just Getting Started,91.0,2017,2017,1,Ron Shelton,Ron Shelton,,,Morgan Freeman,Tommy Lee Jones,Rene Russo,Comedy,Crime,,4.5
7350,Star Wars: The Last Jedi,152.0,2017,2017,1,Rian Johnson,Rian Johnson,George Lucas,,Daisy Ridley,John Boyega,Mark Hamill,Action,Adventure,Fantasy,6.9
7351,Ferdinand,108.0,2017,2017,1,Carlos Saldanha,Robert L. Baird,Tim Federle,Brad Copeland,John Cena,Kate McKinnon,Bobby Cannavale,Animation,Adventure,Comedy,6.8
7352,Beyond Skyline,106.0,2017,2017,1,Liam O'Donnell,Liam O'Donnell,Joshua Cordes,,Frank Grillo,Bojana Novakovic,Jonny Weston,Action,Adventure,Sci-Fi,5.3
7353,Jumanji: Welcome to the Jungle,119.0,2017,2017,1,Jake Kasdan,Chris McKenna,Erik Sommers,Scott Rosenberg,Dwayne Johnson,Karen Gillan,Kevin Hart,Action,Adventure,Comedy,6.9
7354,The Greatest Showman,105.0,2017,2017,1,Michael Gracey,Jenny Bicks,Bill Condon,,Hugh Jackman,Michelle Williams,Zac Efron,Biography,Drama,Musical,7.6
7355,Pitch Perfect 3,93.0,2017,2017,0,Trish Sie,Kay Cannon,Mike White,Mickey Rapkin,Anna Kendrick,Rebel Wilson,Brittany Snow,Comedy,Music,,5.8
7356,Downsizing,135.0,2017,2017,1,Alexander Payne,Alexander Payne,Jim Taylor,,Matt Damon,Christoph Waltz,Hong Chau,Drama,Fantasy,Sci-Fi,5.7
7357,Father Figures,113.0,2017,2017,1,Lawrence Sher,Justin Malen,,,Owen Wilson,Ed Helms,Glenn Close,Comedy,Drama,,5.5
7358,The Post,116.0,2017,2017,1,Steven Spielberg,Liz Hannah,Josh Singer,,Meryl Streep,Tom Hanks,Sarah Paulson,Drama,,,7.2
7359,Bright,117.0,2017,2017,1,David Ayer,Max Landis,,,Will Smith,Joel Edgerton,Noomi Rapace,Action,Fantasy,Thriller,6.3
7360,Crooked House,115.0,2017,2017,1,Gilles Paquet-Brenner,Julian Fellowes,Tim Rose Price,Gilles Paquet-Brenner,Max Irons,Stefanie Martini,Glenn Close,Crime,Drama,Mystery,6.3
7361,Hostiles,134.0,2017,2017,1,Scott Cooper,Scott Cooper,Donald E. Stewart,,Scott Shepherd,Rosamund Pike,Ava Cooper,Drama,Western,,7.2
7362,All the Money in the World,132.0,2017,2017,1,Ridley Scott,David Scarpa,John Pearson,,Michelle Williams,Christopher Plummer,Mark Wahlberg,Biography,Crime,Drama,6.8
7363,Molly's Game,140.0,2017,2017,1,Aaron Sorkin,Aaron Sorkin,Molly Bloom,,Jessica Chastain,Idris Elba,Kevin Costner,Biography,Crime,Drama,7.4
7364,Phantom Thread,130.0,2017,2017,1,Paul Thomas Anderson,Paul Thomas Anderson,,,Vicky Krieps,Daniel Day-Lewis,Lesley Manville,Drama,Romance,,7.5
