,name,year,idbm_year,director,writers,star,rating,genre
10099,The Conjuring 2,2016,2016,James Wan,"Chad Hayes,Carey W. Hayes,James Wan","Vera Farmiga,Patrick Wilson,Madison Wolfe",7.3,"Horror,Mystery,Thriller"
10100,Warcraft,2016,2016,Duncan Jones,"Charles Leavitt,Duncan Jones","Travis Fimmel,Paula Patton,Ben Foster",6.8,"Action,Adventure,Fantasy"
10101,Now You See Me 2,2016,2016,Jon M. Chu,"Ed Solomon,Peter Chiarelli,Boaz Yakin","Jesse Eisenberg,Mark Ruffalo,Woody Harrelson",6.5,"Action,Adventure,Comedy"
10102,Finding Dory,2016,2016,"Andrew Stanton,Angus MacLane","Andrew Stanton,Victoria Strouse","Ellen DeGeneres,Albert Brooks,Ed O'Neill",7.3,"Animation,Adventure,Comedy"
10103,Central Intelligence,2016,2016,Rawson Marshall Thurber,"Ike Barinholtz,David Stassen,Rawson Marshall Thurber","Dwayne Johnson,Kevin Hart,Danielle Nicolet",6.3,"Action,Comedy,Crime"
10104,Independence Day: Resurgence,2016,2016,Roland Emmerich,"Nicolas Wright,James A. Woods,Dean Devlin","Liam Hemsworth,Jeff Goldblum,Bill Pullman",5.2,"Action,Adventure,Sci-Fi"
10105,The Shallows,2016,2016,Jaume Collet-Serra,Anthony Jaswinski,"Blake Lively,Óscar Jaenada,Angelo Josue Lozano Corzo",6.3,"Action,Drama,Horror"
10106,Free State of Jones,2016,2016,Gary Ross,"Gary Ross,Leonard Hartman","Matthew McConaughey,Gugu Mbatha-Raw,Mahershala Ali",6.9,"Action,Biography,Drama"
10107,The Neon Demon,2016,2016,Nicolas Winding Refn,"Nicolas Winding Refn,Mary Laws,Polly Stenham","Elle Fanning,Christina Hendricks,Keanu Reeves",6.2,"Horror,Thriller"
10108,The Legend of Tarzan,2016,2016,David Yates,"Adam Cozad,Craig Brewer,Edgar Rice Burroughs","Alexander Skarsgård,Rory J. Saper,Christian Stevens",6.2,"Action,Adventure,Drama"
10109,The BFG,2016,2016,Steven Spielberg,"Melissa Mathison,Roald Dahl","Mark Rylance,Ruby Barnhill,Penelope Wilton",6.4,"Adventure,Family,Fantasy"
10110,The Purge: Election Year,2016,2016,James DeMonaco,James DeMonaco,"Frank Grillo,Elizabeth Mitchell,Mykelti Williamson",6.0,"Action,Horror,Sci-Fi"
10111,The Secret Life of Pets,2016,2016,Chris Renaud,"Cinco Paul,Ken Daurio,Brian Lynch","Louis C.K.,Eric Stonestreet,Kevin Hart",6.5,"Animation,Adventure,Comedy"
10112,Captain Fantastic,2016,2016,Matt Ross,Matt Ross,"Viggo Mortensen,George MacKay,Samantha Isler",7.9,"Comedy,Drama"
10113,Mike and Dave Need Wedding Dates,2016,2016,Jake Szymanski,"Andrew Jay Cohen,Brendan O'Brien","Zac Efron,Adam Devine,Anna Kendrick",6.0,"Comedy,Romance"
10114,Characterz,2016,2016,Jon Binkowski,"Jon Binkowski,Lisa Enos Smith","Mitchel Musso,Walt Willey,Miles D",6.1,"Comedy,Family"
10115,The Infiltrator,2016,2016,Brad Furman,"Ellen Furman,Robert Mazur","Bryan Cranston,John Leguizamo,Diane Kruger",7.0,"Biography,Crime,Drama"
10116,Ghostbusters,2016,1984,Ivan Reitman,"Dan Aykroyd,Harold Ramis,Rick Moranis","Bill Murray,Dan Aykroyd,Sigourney Weaver",7.8,"Action,Comedy,Fantasy"
10117,Star Trek Beyond,2016,2016,Justin Lin,"Simon Pegg,Doug Jung,Gene Roddenberry","Chris Pine,Zachary Quinto,Karl Urban",7.0,"Action,Adventure,Sci-Fi"
10118,Batman: The Killing Joke,2016,2016,Sam Liu,"Brian Azzarello,Brian Bolland,Bob Kane","Kevin Conroy,Mark Hamill,Tara Strong",6.4,"Animation,Action,Crime"
10119,Ice Age: Collision Course,2016,2016,"Michael Thurmeier,Galen T. Chu","Michael J. Wilson,Michael Berg,Yoni Brenner","Ray Romano,Denis Leary,John Leguizamo",5.7,"Animation,Adventure,Comedy"
10120,Lights Out,2016,2016,David F. Sandberg,"Eric Heisserer,David F. Sandberg","Teresa Palmer,Gabriel Bateman,Maria Bello",6.3,"Drama,Horror,Mystery"
10121,Nerve,2016,2016,"Henry Joost,Ariel Schulman","Jessica Sharzer,Jeanne Ryan","Emma Roberts,Dave Franco,Emily Meade",6.5,"Action,Adventure,Crime"
10122,Jason Bourne,2016,2016,Paul Greengrass,"Paul Greengrass,Christopher Rouse,Robert Ludlum","Matt Damon,Tommy Lee Jones,Alicia Vikander",6.6,"Action,Thriller"
10123,Bad Moms,2016,2016,"Jon Lucas,Scott Moore","Jon Lucas,Scott Moore","Mila Kunis,Kathryn Hahn,Kristen Bell",6.2,Comedy
10124,Suicide Squad,2016,2016,David Ayer,"David Ayer,John Ostrander","Will Smith,Jared Leto,Margot Robbie",5.9,"Action,Adventure,Fantasy"
10125,Nine Lives,2016,2016,Barry Sonnenfeld,"Gwyn Lurie,Matt Allen,Caleb Wilson","Kevin Spacey,Jennifer Garner,Robbie Amell",5.3,"Comedy,Drama,Family"
10126,Pete's Dragon,2016,2016,David Lowery,"David Lowery,Toby Halbrooks,Malcolm Marmorstein","Bryce Dallas Howard,Robert Redford,Oakes Fegley",6.7,"Action,Adventure,Comedy"
10127,Sausage Party,2016,2016,"Greg Tiernan,Conrad Vernon","Kyle Hunter,Ariel Shaffir,Seth Rogen","Seth Rogen,Kristen Wiig,Jonah Hill",6.1,"Animation,Adventure,Comedy"
10128,Florence Foster Jenkins,2016,2016,Stephen Frears,"Nicholas Martin,Julia Kogan","Meryl Streep,Hugh Grant,Simon Helberg",6.8,"Biography,Comedy,Drama"
10129,Ben-Hur,2016,1959,William Wyler,"Lew Wallace,Karl Tunberg,Gore Vidal","Charlton Heston,Jack Hawkins,Stephen Boyd",8.1,"Adventure,Drama,History"
10130,Kubo and the Two Strings,2016,2016,Travis Knight,"Marc Haimes,Chris Butler,Shannon Tindle","Charlize Theron,Art Parkinson,Matthew McConaughey",7.8,"Animation,Action,Adventure"
10131,War Dogs,2016,2016,Todd Phillips,"Stephen Chin,Todd Phillips,Jason Smilovic","Jonah Hill,Miles Teller,Steve Lantz",7.1,"Biography,Comedy,Crime"
10132,Mechanic: Resurrection,2016,2016,Dennis Gansel,"Lewis John Carlino,Philip Shelby,Tony Mosher","Jason Statham,Jessica Alba,Tommy Lee Jones",5.7,"Action,Adventure,Crime"
10133,Don't Breathe,2016,2016,Fede Alvarez,"Fede Alvarez,Rodo Sayagues","Stephen Lang,Jane Levy,Dylan Minnette",7.1,"Crime,Horror,Thriller"
10134,Hands of Stone,2016,2016,Jonathan Jakubowicz,Jonathan Jakubowicz,"Edgar Ramírez,Usher,Robert De Niro",6.6,"Biography,Drama,Sport"
10135,The Light Between Oceans,2016,2016,Derek Cianfrance,"Derek Cianfrance,M.L. Stedman","Michael Fassbender,Alicia Vikander,Rachel Weisz",7.2,"Drama,Romance"
10136,Morgan,2016,2016,Luke Scott,Seth W. Owen,"Kate Mara,Anya Taylor-Joy,Rose Leslie",5.8,"Action,Horror,Sci-Fi"
10137,Skiptrace,2016,2016,Renny Harlin,"Jay Longino,BenDavid Grabinski,Wen-Chia Chang","Jackie Chan,Johnny Knoxville,Bingbing Fan",5.7,"Action,Adventure,Comedy"
10138,Sully,2016,2016,Clint Eastwood,"Todd Komarnicki,Chesley Sullenberger,Jeffrey Zaslow","Tom Hanks,Aaron Eckhart,Laura Linney",7.4,"Biography,Drama"
10139,When the Bough Breaks,2016,2016,Jon Cassar,Jack Olsen,"Morris Chestnut,Regina Hall,Romany Malco",5.2,"Drama,Thriller"
10140,Robinson Crusoe,2016,1997,"Rod Hardy,George Miller","Daniel Defoe,Christopher Lofton,Tracy Keenan Wynn","Pierce Brosnan,William Takaku,Polly Walker",6.0,"Adventure,Drama"
10141,The Disappointments Room,2016,2016,D.J. Caruso,"Wentworth Miller,D.J. Caruso","Kate Beckinsale,Mel Raido,Duncan Joiner",3.9,"Drama,Horror,Thriller"
10142,Bridget Jones's Baby,2016,2016,Sharon Maguire,"Helen Fielding,Dan Mazer,Emma Thompson","Renée Zellweger,Gemma Jones,Jim Broadbent",6.5,"Comedy,Drama,Romance"
10143,Snowden,2016,2016,Oliver Stone,"Kieran Fitzgerald,Oliver Stone,Luke Harding","Joseph Gordon-Levitt,Shailene Woodley,Melissa Leo",7.3,"Biography,Crime,Drama"
10144,Blair Witch,2016,2016,Adam Wingard,Simon Barrett,"James Allen McCune,Callie Hernandez,Corbin Reid",5.0,"Horror,Mystery,Thriller"
10145,Hillsong: Let Hope Rise,2016,2016,,,,6.4,"Documentary,Family,Music"
10146,The Magnificent Seven,2016,2016,Antoine Fuqua,"Akira Kurosawa,Shinobu Hashimoto,Hideo Oguni","Denzel Washington,Chris Pratt,Ethan Hawke",6.9,"Action,Adventure,Western"
10147,Storks,2016,2016,"Nicholas Stoller,Doug Sweetland",Nicholas Stoller,"Andy Samberg,Katie Crown,Kelsey Grammer",6.8,"Animation,Adventure,Comedy"
10148,Miss Peregrine's Home for Peculiar Children,2016,2016,Tim Burton,"Ransom Riggs,Jane Goldman","Eva Green,Asa Butterfield,Samuel L. Jackson",6.7,"Adventure,Drama,Family"
10149,Deepwater Horizon,2016,2016,Peter Berg,"Matthew Michael Carnahan,Matthew Sand,David Barstow","Mark Wahlberg,Kurt Russell,Douglas M. Griffin",7.1,"Action,Drama,History"
10150,Queen of Katwe,2016,2016,Mira Nair,"William Wheeler,Tim Crothers","Madina Nalwanga,David Oyelowo,Lupita Nyong'o",7.4,"Biography,Drama,Sport"
10151,Masterminds,2016,2016,Jared Hess,"Chris Bowman,Hubbel Palmer,Emily Spivey","Zach Galifianakis,Kristen Wiig,Owen Wilson",5.8,"Biography,Comedy,Crime"
10152,The Girl on the Train,2016,2016,Tate Taylor,"Erin Cressida Wilson,Paula Hawkins","Emily Blunt,Haley Bennett,Rebecca Ferguson",6.5,"Crime,Drama,Mystery"
10153,The Birth of a Nation,2016,1915,D.W. Griffith,"Thomas Dixon Jr.,D.W. Griffith,Frank E. Woods","Lillian Gish,Mae Marsh,Henry B. Walthall",6.2,"Drama,History,War"
10154,Middle School: The Worst Years of My Life,2016,2016,Steve Carr,"Chris Bowman,Hubbel Palmer,Kara Holden","Griffin Gluck,Lauren Graham,Alexa Nisenson",6.1,"Animation,Comedy,Family"
10155,The Accountant,2016,2016,Gavin O'Connor,Bill Dubuque,"Ben Affleck,Anna Kendrick,J.K. Simmons",7.3,"Action,Thriller"
10156,Kevin Hart: What Now?,2016,2016,"Leslie Small,Tim Story","Kevin Hart,Joey Wells,Harry Ratchford","Kevin Hart,Don Cheadle,Halle Berry",6.0,"Documentary,Comedy"
10157,Max Steel,2016,2016,Stewart Hendler,Christopher L. Yost,"Ben Winchell,Josh Brener,Maria Bello",4.6,"Action,Adventure,Fantasy"
10158,Jack Reacher: Never Go Back,2016,2016,Edward Zwick,"Richard Wenk,Edward Zwick,Marshall Herskovitz","Tom Cruise,Cobie Smulders,Aldis Hodge",6.2,"Action,Crime,Mystery"
10159,Keeping Up with the Joneses,2016,2016,Greg Mottola,Michael LeSieur,"Zach Galifianakis,Isla Fisher,Jon Hamm",5.9,"Action,Comedy"
10160,Ouija: Origin of Evil,2016,2016,Mike Flanagan,"Mike Flanagan,Jeff Howard,Juliet Snowden","Elizabeth Reaser,Lulu Wilson,Annalise Basso",6.2,"Drama,Horror,Mystery"
10161,Boo! A Madea Halloween,2016,2016,Tyler Perry,Tyler Perry,"Tyler Perry,Cassi Davis,Patrice Lovely",4.6,"Comedy,Drama,Horror"
10162,I'm Not Ashamed,2016,2016,Brian Baugh,"Philipa A. Booyens,Robin Hanley,Kari Redmond","Masey McLain,Ben Davies,Cameron McKendry",6.0,"Biography,Drama"
10163,American Pastoral,2016,2016,Ewan McGregor,"Philip Roth,John Romano","Ewan McGregor,Jennifer Connelly,Dakota Fanning",6.1,"Crime,Drama"
10164,Inferno,2016,2016,Ron Howard,"Dan Brown,David Koepp","Tom Hanks,Felicity Jones,Irrfan Khan",6.2,"Action,Adventure,Crime"
10165,Doctor Strange,2016,2016,Scott Derrickson,"Jon Spaihts,Scott Derrickson,C. Robert Cargill","Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams",7.5,"Action,Adventure,Fantasy"
10166,Trolls,2016,2016,"Mike Mitchell,Walt Dohrn","Jonathan Aibel,Glenn Berger,Erica Rivinoja","Anna Kendrick,Justin Timberlake,Zooey Deschanel",6.5,"Animation,Adventure,Comedy"
10167,Hacksaw Ridge,2016,2016,Mel Gibson,"Robert Schenkkan,Andrew Knight","Andrew Garfield,Sam Worthington,Luke Bracey",8.1,"Biography,Drama,History"
10168,Loving,2016,2017,Esteban Crespo,"Esteban Crespo,Mario Fernandez Alonso","María Pedraza,Pol Monen,Natalia Tena",5.2,"Drama,Romance"
10169,The Love Witch,2016,2016,Anna Biller,Anna Biller,"Samantha Robinson,Jeffrey Vincent Parise,Laura Waddell",6.2,"Comedy,Horror,Romance"
10170,Arrival,2016,2016,Denis Villeneuve,"Eric Heisserer,Ted Chiang","Amy Adams,Jeremy Renner,Forest Whitaker",7.9,"Drama,Sci-Fi"
10171,Billy Lynn's Long Halftime Walk,2016,2016,Ang Lee,"Ben Fountain,Jean-Christophe Castelli","Joe Alwyn,Garrett Hedlund,Arturo Castro",6.2,"Action,Drama,Sport"
10172,Almost Christmas,2016,2016,David E. Talbert,David E. Talbert,"Kimberly Elise,Omar Epps,Danny Glover",6.1,"Comedy,Drama"
10173,Shut In,2016,2015,Adam Schindler,"T.J. Cimfel,David White","Rory Culkin,Leticia Jimenez,Jack Kesy",5.8,"Drama,Horror,Thriller"
10174,Fantastic Beasts and Where to Find Them,2016,2016,David Yates,J.K. Rowling,"Eddie Redmayne,Katherine Waterston,Alison Sudol",7.3,"Adventure,Family,Fantasy"
10175,The Edge of Seventeen,2016,2016,Kelly Fremon Craig,Kelly Fremon Craig,"Hailee Steinfeld,Haley Lu Richardson,Blake Jenner",7.3,"Comedy,Drama"
10176,Bleed for This,2016,2016,Ben Younger,"Ben Younger,Pippa Bianco,Angelo Pizzo","Miles Teller,Aaron Eckhart,Katey Sagal",6.8,"Biography,Drama,Sport"
10177,Moana,2016,2016,"Ron Clements,John Musker,Don Hall","Jared Bush,Ron Clements,John Musker","Auli'i Cravalho,Dwayne Johnson,Rachel House",7.6,"Animation,Adventure,Comedy"
10178,Allied,2016,2016,Robert Zemeckis,Steven Knight,"Brad Pitt,Marion Cotillard,Jared Harris",7.1,"Action,Drama,Romance"
10179,Bad Santa 2,2016,2016,Mark Waters,"Johnny Rosenthal,Shauna Cross,Glenn Ficarra","Billy Bob Thornton,Kathy Bates,Tony Cox",5.6,"Comedy,Crime,Drama"
10180,Rules Don't Apply,2016,2016,Warren Beatty,"Warren Beatty,Bo Goldman","Lily Collins,Haley Bennett,Taissa Farmiga",5.7,"Comedy,Drama,Romance"
10181,La La Land,2016,2016,Damien Chazelle,Damien Chazelle,"Ryan Gosling,Emma Stone,Rosemarie DeWitt",8.0,"Comedy,Drama,Music"
10182,Rogue One: A Star Wars Story,2016,2016,Gareth Edwards,"Chris Weitz,Tony Gilroy,John Knoll","Felicity Jones,Diego Luna,Alan Tudyk",7.8,"Action,Adventure,Sci-Fi"
10183,The Founder,2016,2016,John Lee Hancock,Robert Siegel,"Michael Keaton,Nick Offerman,John Carroll Lynch",7.2,"Biography,Drama"
10184,Sing,2016,2016,"Garth Jennings,Christophe Lourdelet",Garth Jennings,"Matthew McConaughey,Reese Witherspoon,Seth MacFarlane",7.1,"Animation,Comedy,Family"
10185,Patriots Day,2016,2016,Peter Berg,"Peter Berg,Matt Cook,Joshua Zetumer","Mark Wahlberg,Michelle Monaghan,J.K. Simmons",7.4,"Action,Crime,Drama"
10186,A Monster Calls,2016,2016,J.A. Bayona,"Patrick Ness,Siobhan Dowd","Lewis MacDougall,Sigourney Weaver,Felicity Jones",7.5,"Adventure,Drama,Family"
10187,Paterson,2016,2016,Jim Jarmusch,"Jim Jarmusch,William Carlos Williams,Ron Padgett","Adam Driver,Golshifteh Farahani,Nellie",7.4,"Comedy,Drama,Romance"
10188,Star Wars: The Last Jedi,2017,2017,Rian Johnson,"Rian Johnson,George Lucas","Daisy Ridley,John Boyega,Mark Hamill",6.9,"Action,Adventure,Fantasy"
10189,Beauty and the Beast,2017,2017,Bill Condon,"Stephen Chbosky,Evan Spiliotopoulos,Linda Woolverton","Emma Watson,Dan Stevens,Luke Evans",7.1,"Adventure,Family,Fantasy"
10190,Wonder Woman,2017,2017,Patty Jenkins,"Allan Heinberg,Zack Snyder,Jason Fuchs","Gal Gadot,Chris Pine,Robin Wright",7.4,"Action,Adventure,Fantasy"
10191,Jumanji: Welcome to the Jungle,2017,2017,Jake Kasdan,"Chris McKenna,Erik Sommers,Scott Rosenberg","Dwayne Johnson,Karen Gillan,Kevin Hart",6.9,"Action,Adventure,Comedy"
10192,Guardians of the Galaxy Vol. 2,2017,2017,James Gunn,"James Gunn,Dan Abnett,Andy Lanning","Chris Pratt,Zoe Saldana,Dave Bautista",7.6,"Action,Adventure,Comedy"
10193,Spider-Man: Homecoming,2017,2017,Jon Watts,"Jonathan Goldstein,John Francis Daley,Jon Watts","Tom Holland,Michael Keaton,Robert Downey Jr.",7.4,"Action,Adventure,Sci-Fi"
10194,It,2017,2017,Andy Muschietti,"Chase Palmer,Cary Joji Fukunaga,Gary Dauberman","Bill Skarsgård,Jaeden Martell,Finn Wolfhard",7.3,Horror
10195,Thor: Ragnarok,2017,2017,Taika Waititi,"Eric Pearson,Craig Kyle,Christopher L. Yost","Chris Hemsworth,Tom Hiddleston,Cate Blanchett",7.9,"Action,Adventure,Comedy"
10196,Despicable Me 3,2017,2017,"Kyle Balda,Pierre Coffin,Eric Guillon","Cinco Paul,Ken Daurio","Steve Carell,Kristen Wiig,Trey Parker",6.3,"Animation,Adventure,Comedy"
10197,Justice League,2017,2017,Zack Snyder,"Jerry Siegel,Joe Shuster,Chris Terrio","Ben Affleck,Gal Gadot,Jason Momoa",6.1,"Action,Adventure,Fantasy"
10198,Underworld: Blood Wars,2017,2016,Anna Foerster,"Cory Goodman,Kyle Ward,Kevin Grevioux","Kate Beckinsale,Theo James,Tobias Menzies",5.8,"Action,Adventure,Fantasy"
10199,Arsenal,2017,2017,Steven C. Miller,Jason Mosberg,"Nicolas Cage,John Cusack,Adrian Grenier",4.0,"Action,Crime,Thriller"
10200,Between Us,2017,,,,,6.9,Drama
10201,Monster Trucks,2017,2016,Chris Wedge,"Derek Connolly,Matthew Robinson,Jonathan Aibel","Lucas Till,Jane Levy,Thomas Lennon",5.7,"Action,Adventure,Comedy"
10202,The Bye Bye Man,2017,2017,Stacy Title,"Jonathan Penner,Robert Damon Schneck","Douglas Smith,Lucien Laviscount,Cressida Bonas",4.2,"Drama,Fantasy,Horror"
10203,Sleepless,2017,2017,Baran bo Odar,"Andrea Berloff,Frédéric Jardin,Nicolas Saada","Jamie Foxx,Michelle Monaghan,Dermot Mulroney",5.6,"Action,Crime,Thriller"
10204,100 Streets,2017,2016,Jim O'Hanlon,Leon Butler,"Idris Elba,Gemma Arterton,Tom Cullen",5.8,Drama
10205,The Book of Love,2017,,John Putch,"David H. Steinberg,Adam Herz","Bug Hall,Kevin M. Horton,Brandon Hardesty",4.8,Comedy
10206,Split,2017,2016,M. Night Shyamalan,M. Night Shyamalan,"James McAvoy,Anya Taylor-Joy,Haley Lu Richardson",7.3,"Horror,Thriller"
10207,XXX: Return of Xander Cage,2017,2017,D.J. Caruso,"Rich Wilkes,F. Scott Frazier","Vin Diesel,Donnie Yen,Deepika Padukone",5.2,"Action,Adventure,Thriller"
10208,The Resurrection of Gavin Stone,2017,2017,Dallas Jenkins,Andrea Gyertson Nasfell,"Brett Dalton,Anjelah Johnson-Reyes,Neil Flynn",6.3,"Comedy,Drama,Family"
10209,Trespass Against Us,2017,2016,Adam Smith,Alastair Siddons,"Michael Fassbender,Brendan Gleeson,Lyndsey Marshal",5.8,"Action,Crime,Drama"
10210,Sophie and the Rising Sun,2017,2016,Maggie Greenwald,"Maggie Greenwald,Augusta Trobaugh","Julianne Nicholson,Takashi Yamaguchi,Margo Martindale",6.6,Drama
10211,A Dog's Purpose,2017,2017,Lasse Hallström,"W. Bruce Cameron,Cathryn Michon,Audrey Wells","Josh Gad,Dennis Quaid,Peggy Lipton",7.2,"Adventure,Comedy,Drama"
10212,Resident Evil: The Final Chapter,2017,2016,Paul W.S. Anderson,Paul W.S. Anderson,"Milla Jovovich,Iain Glen,Ali Larter",5.5,"Action,Horror,Sci-Fi"
10213,Lost in Florence,2017,2017,Evan Oppenheimer,Evan Oppenheimer,"Brett Dalton,Stana Katic,Alessandra Mastronardi",5.1,"Adventure,Drama,Romance"
10214,I Am Michael,2017,2015,Justin Kelly,"Justin Kelly,Stacey Miller,Benoit Denizet Lewis","James Franco,Zachary Quinto,Emma Roberts",5.6,"Biography,Drama,Romance"
10215,iBoy,2017,2017,Adam Randall,"Joe Barton,Kevin Brooks,Mark Denton","Bill Milner,Maisie Williams,Miranda Richardson",6.0,"Action,Crime,Sci-Fi"
10216,Rings,2017,2017,F. Javier Gutiérrez,"David Loucka,Jacob Estes,Akiva Goldsman","Matilda Anna Ingrid Lutz,Alex Roe,Johnny Galecki",4.5,"Drama,Horror,Mystery"
10217,The Space Between Us,2017,2017,Peter Chelsom,"Allan Loeb,Stewart Schill,Richard Barton Lewis","Gary Oldman,Asa Butterfield,Carla Gugino",6.4,"Drama,Romance,Sci-Fi"
10218,Youth in Oregon,2017,2016,Joel David Moore,Andrew Eisen,"Frank Langella,Billy Crudup,Christina Applegate",5.7,"Comedy,Drama"
10219,I Am Not Your Negro,2017,2016,Raoul Peck,"James Baldwin,Raoul Peck","Samuel L. Jackson,James Baldwin,Martin Luther King",7.9,"Documentary,History"
10220,Growing Up Smith,2017,2015,Frank Lotito,"Anjul Nigam,Paul Quinn,Gregory Scott Houghton","Jason Lee,Anjul Nigam,Brighton Sharbino",6.8,"Comedy,Drama,Family"
10221,The Lego Batman Movie,2017,2017,Chris McKay,"Seth Grahame-Smith,Chris McKenna,Erik Sommers","Will Arnett,Michael Cera,Rosario Dawson",7.3,"Animation,Action,Adventure"
10222,Fifty Shades Darker,2017,2017,James Foley,"Niall Leonard,E.L. James","Dakota Johnson,Jamie Dornan,Eric Johnson",4.6,"Drama,Romance"
10223,John Wick: Chapter 2,2017,2017,Chad Stahelski,Derek Kolstad,"Keanu Reeves,Riccardo Scamarcio,Ian McShane",7.5,"Action,Crime,Thriller"
10224,Bornless Ones,2017,2016,Alexander Babaev,Alexander Babaev,"Margaret Judson,Devin Goodsell,Michael Johnston",4.6,Horror
10225,The Great Wall,2017,2016,Yimou Zhang,"Carlo Bernard,Doug Miro,Tony Gilroy","Matt Damon,Tian Jing,Willem Dafoe",5.9,"Action,Adventure,Fantasy"
10226,A Cure for Wellness,2017,2016,Gore Verbinski,"Justin Haythe,Gore Verbinski","Dane DeHaan,Jason Isaacs,Mia Goth",6.4,"Drama,Fantasy,Horror"
10227,Fist Fight,2017,2017,Richie Keen,"Van Robichaux,Evan Susser,Max Greenfield","Ice Cube,Charlie Day,Tracy Morgan",5.6,Comedy
10228,American Fable,2017,2016,Anne Hamilton,Anne Hamilton,"Peyton Kennedy,Richard Schiff,Kip Pardue",5.9,Thriller
10229,XX,2017,2017,"Roxanne Benjamin,Sofìa Carrillo,Karyn Kusama","Jovanka Vuckovic,Jack Ketchum,Roxanne Benjamin","Natalie Brown,Jonathan Watton,Peter DaCunha",4.6,Horror
10230,Lovesong,2017,2016,So Yong Kim,"So Yong Kim,Bradley Rust Gray","Riley Keough,Jena Malone,Jessie Ok Gray",6.3,"Drama,Romance"
10231,Get Out,2017,2017,Jordan Peele,Jordan Peele,"Daniel Kaluuya,Allison Williams,Bradley Whitford",7.7,"Horror,Mystery,Thriller"
10232,Rock Dog,2017,2016,Ash Brannon,"Ash Brannon,Kurt Voelker,Jun Zheng","Luke Wilson,Eddie Izzard,J.K. Simmons",6.0,"Animation,Adventure,Comedy"
10233,Collide,2017,2016,Eran Creevy,"F. Scott Frazier,Eran Creevy","Nicholas Hoult,Felicity Jones,Anthony Hopkins",5.7,"Action,Crime,Thriller"
10234,The Girl with All the Gifts,2017,2016,Colm McCarthy,Mike Carey,"Sennia Nanua,Fisayo Akinade,Dominique Tipper",6.6,"Action,Adventure,Drama"
10235,I Don't Feel at Home in This World Anymore,2017,2017,Macon Blair,Macon Blair,"Melanie Lynskey,Chris Doubek,Marilyn Faith Hickey",6.9,"Comedy,Crime,Drama"
10236,Contemporary Color,2017,2016,,,,6.4,"Documentary,Music"
10237,Logan,2017,2017,James Mangold,"James Mangold,Scott Frank,Michael Green","Hugh Jackman,Patrick Stewart,Dafne Keen",8.1,"Action,Drama,Sci-Fi"
10238,The Shack,2017,2017,Stuart Hazeldine,"John Fusco,Andrew Lanham,Destin Daniel Cretton","Sam Worthington,Octavia Spencer,Tim McGraw",6.3,"Drama,Fantasy"
10239,Before I Fall,2017,2017,Ry Russo-Young,"Maria Maggenti,Lauren Oliver","Zoey Deutch,Halston Sage,Cynthy Wu",6.5,"Drama,Fantasy,Mystery"
10240,Table 19,2017,2017,Jeffrey Blitz,"Mark Duplass,Jay Duplass,Jeffrey Blitz","Anna Kendrick,Lisa Kudrow,Craig Robinson",5.8,"Comedy,Drama,Romance"
10241,The Last Word,2017,2011,David Mackenzie,Kim Fupz Aakeson,"Ewan McGregor,Eva Green,Lauren Tempany",7.1,"Drama,Romance,Sci-Fi"
10242,Catfight,2017,2016,Onur Tukel,Onur Tukel,"Sandra Oh,Anne Heche,Alicia Silverstone",5.9,"Action,Comedy,Drama"
10243,Donald Cried,2017,2016,Kris Avedisian,"Kris Avedisian,Kyle Espeleta,Jesse Wakeman","Jesse Wakeman,Kris Avedisian,William Billington",6.6,"Comedy,Drama"
10244,Kong: Skull Island,2017,2017,Jordan Vogt-Roberts,"Dan Gilroy,Max Borenstein,Derek Connolly","Tom Hiddleston,Samuel L. Jackson,Brie Larson",6.6,"Action,Adventure,Fantasy"
10245,Burning Sands,2017,2017,Gerard McMurray,"Christine T. Berg,Gerard McMurray","Trevor Jackson,Tosin Cole,DeRon Horton",6.1,Drama
10246,Beauty and the Beast,2017,2017,Bill Condon,"Stephen Chbosky,Evan Spiliotopoulos,Linda Woolverton","Emma Watson,Dan Stevens,Luke Evans",7.1,"Adventure,Family,Fantasy"
10247,The Belko Experiment,2017,2016,Greg McLean,James Gunn,"John Gallagher Jr.,Tony Goldwyn,Adria Arjona",6.1,"Horror,Thriller"
10248,Song to Song,2017,2017,Terrence Malick,Terrence Malick,"Ryan Gosling,Rooney Mara,Michael Fassbender",5.6,"Drama,Music,Romance"
10249,Atomica,2017,2017,David Leitch,"Kurt Johnstad,Antony Johnston,Sam Hart","Charlize Theron,James McAvoy,John Goodman",6.7,"Action,Thriller"
10250,All Nighter,2017,2017,Gavin Wiesen,Seth W. Owen,"Lio Tipton,Emile Hirsch,J.K. Simmons",5.8,"Comedy,Drama"
10251,The Devil's Candy,2017,2015,Sean Byrne,Sean Byrne,"Ethan Embry,Shiri Appleby,Pruitt Taylor Vince",6.4,"Drama,Horror,Thriller"
10252,Power Rangers,2017,2017,Dean Israelite,"John Gatins,Matt Sazama,Burk Sharpless","Dacre Montgomery,Naomi Scott,RJ Cyler",5.9,"Action,Adventure,Fantasy"
10253,Life,2017,2017,Daniel Espinosa,"Rhett Reese,Paul Wernick","Jake Gyllenhaal,Rebecca Ferguson,Ryan Reynolds",6.6,"Horror,Sci-Fi,Thriller"
10254,CHiPs,2017,,,,,6.4,"Crime,Drama,Mystery"
