,name,year,idbm_year,length,director,writers,star,rating,genre
9076,"Jeff, Who Lives at Home",2012,2011,1h 23m,"Jay Duplass,Mark Duplass","Jay Duplass,Mark Duplass","Jason Segel,Ed Helms,Judy Greer",6.5,"Comedy,Drama"
9077,The Hunger Games,2012,2012,2h 22m,Gary Ross,"Gary Ross,Suzanne Collins,Billy Ray","Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth",7.2,"Action,Adventure,Sci-Fi"
9078,The Raid: Redemption,2012,2011,1h 41m,Gareth Evans,Gareth Evans,"Iko Uwais,Ananda George,Ray Sahetapy",7.6,"Action,Crime,Thriller"
9079,A Royal Affair,2012,2012,2h 17m,Nikolaj Arcel,"Bodil Steensen-Leth,Rasmus Heisterberg,Nikolaj Arcel","Alicia Vikander,Mads Mikkelsen,Mikkel Boe Følsgaard",7.5,"Biography,Drama,History"
9080,Mirror Mirror,2012,2012,1h 46m,Tarsem Singh,"Marc Klein,Jason Keller,Melisa Wallack","Lily Collins,Julia Roberts,Armie Hammer",5.6,"Adventure,Comedy,Drama"
9081,Wrath of the Titans,2012,2012,1h 39m,Jonathan Liebesman,"Dan Mazeau,David Leslie Johnson-McGoldrick,Greg Berlanti","Sam Worthington,Liam Neeson,Rosamund Pike",5.7,"Action,Adventure,Fantasy"
9082,Goon,2012,2011,1h 32m,Michael Dowse,"Jay Baruchel,Evan Goldberg,Adam Frattasio","Seann William Scott,Jay Baruchel,Alison Pill",6.8,"Comedy,Drama,Sport"
9083,Titanic 3D,2012,,,Mathew Buck,Mathew Buck,Mathew Buck,7.2,Talk-Show
9084,American Reunion,2012,2012,1h 53m,"Jon Hurwitz,Hayden Schlossberg","Jon Hurwitz,Hayden Schlossberg,Adam Herz","Jason Biggs,Alyson Hannigan,Seann William Scott",6.7,Comedy
9085,Comic-Con Episode IV: A Fan's Hope,2012,2011,1h 28m,Morgan Spurlock,"Jeremy Chilnick,Morgan Spurlock,Joss Whedon","Kevin Smith,Stan Lee,Eli Roth",7.0,Documentary
9086,Damsels in Distress,2012,2011,1h 39m,Whit Stillman,Whit Stillman,"Greta Gerwig,Adam Brody,Lio Tipton",5.7,"Comedy,Drama,Romance"
9087,Keyhole,2012,2011,1h 34m,Guy Maddin,"George Toles,Guy Maddin","Jason Patric,Isabella Rossellini,Udo Kier",5.5,"Drama,Thriller"
9088,Surviving Progress,2012,2011,1h 26m,"Mathieu Roy,Harold Crooks","Harold Crooks,Mathieu Roy","Ronald Wright,Mark Levine,Robert Wright",7.4,Documentary
9089,We Have a Pope,2012,2011,1h 42m,Nanni Moretti,"Nanni Moretti,Francesco Piccolo,Federica Pontremoli","Michel Piccoli,Nanni Moretti,Jerzy Stuhr",6.7,"Comedy,Drama"
9090,The Cabin in the Woods,2012,2011,1h 35m,Drew Goddard,"Joss Whedon,Drew Goddard","Kristen Connolly,Chris Hemsworth,Anna Hutchison",7.0,"Horror,Mystery,Thriller"
9091,Lockout,2012,2012,1h 35m,"James Mather,Steve Saint Leger","James Mather,Steve Saint Leger,Luc Besson","Guy Pearce,Maggie Grace,Peter Stormare",6.1,"Action,Sci-Fi,Thriller"
9092,The Three Stooges,2012,2012,1h 32m,"Bobby Farrelly,Peter Farrelly","Mike Cerrone,Bobby Farrelly,Peter Farrelly","Sean Hayes,Chris Diamantopoulos,Will Sasso",5.1,"Comedy,Family"
9093,Monsieur Lazhar,2012,2011,1h 35m,Philippe Falardeau,"Philippe Falardeau,Evelyne de la Chenelière","Mohamed Fellag,Sophie Nélisse,Émilien Néron",7.5,"Comedy,Drama"
9094,Chimpanzee,2012,2012,1h 18m,"Alastair Fothergill,Mark Linfield","Alastair Fothergill,Mark Linfield,Don Hahn",Tim Allen,7.2,"Documentary,Family"
9095,The Lucky One,2012,2012,1h 41m,Scott Hicks,"Will Fetters,Nicholas Sparks","Zac Efron,Taylor Schilling,Blythe Danner",6.5,"Drama,Mystery,Romance"
9096,Think Like a Man,2012,2012,2h 3m,Tim Story,"Keith Merryman,David A. Newman,Steve Harvey","Chris Brown,Gabrielle Union,Kevin Hart",6.5,"Comedy,Romance"
