,name,year,idbm_year,length,director,writers,star,rating,genre
1391,Sgt. Pepper's Lonely Hearts Club Band,1978,1978,1h 53m,Michael Schultz,"Henry Edwards,Tom O'Horgan,Robin Wagner","Peter Frampton,Barry Gibb,Robin Gibb",4.2,"Adventure,Comedy,Fantasy"
1392,Slow Dancing in the Big City,1978,1978,1h 50m,John G. Avildsen,Barra Grant,"Paul Sorvino,Anne Ditchburn,Nicolas Coster",5.1,"Drama,Musical,Romance"
1393,Somebody Killed Her Husband,1978,1978,1h 37m,Lamont Johnson,Reginald Rose,"Farrah Fawcett,Jeff Bridges,John Wood",5.0,"Comedy,Crime,Mystery"
1394,Someone's Watching Me!,1978,,Not RatedNot Rated,John Carpenter,John Carpenter,"Lauren Hutton,David Birney,Adrienne Barbeau",6.6,"Horror,Mystery,Thriller"
1395,Straight Time,1978,1978,1h 54m,"Ulu Grosbard,Dustin Hoffman","Edward Bunker,Alvin Sargent,Jeffrey Boam","Dustin Hoffman,Theresa Russell,Gary Busey",7.4,"Crime,Drama"
1396,Superman,1978,1978,2h 23m,Richard Donner,"Jerry Siegel,Joe Shuster,Mario Puzo","Christopher Reeve,Margot Kidder,Gene Hackman",7.3,"Action,Adventure,Sci-Fi"
1397,The Swarm,1978,2020,,Just Philippot,"Jérôme Genevray,Franck Victor","Suliane Brahim,Sofian Khammes,Marie Narbonne",5.3,"Drama,Fantasy,Horror"
1398,Thank God It's Friday,1978,1978,1h 29m,Robert Klane,"Armyan Bernstein,Robert Klane","Donna Summer,Valerie Landsburg,Terri Nunn",5.4,"Comedy,Music"
1399,The Toolbox Murders,1978,1978,1h 33m,Dennis Donnelly,"Neva Friedenn,Robert Easter,Ann Kindberg","Cameron Mitchell,Pamelyn Ferdin,Wesley Eure",5.3,"Horror,Mystery,Thriller"
1400,Uncle Joe Shannon,1978,1978,1h 48m,Joseph C. Hanwright,Burt Young,"Burt Young,Doug McKeon,Madge Sinclair",6.6,Drama
1401,An Unmarried Woman,1978,1978,2h 4m,Paul Mazursky,Paul Mazursky,"Jill Clayburgh,Alan Bates,Michael Murphy",7.2,"Comedy,Drama,Romance"
1402,Up in Smoke,1978,1978,1h 26m,"Lou Adler,Tommy Chong","Tommy Chong,Cheech Marin","Cheech Marin,Tommy Chong,Strother Martin",6.9,"Comedy,Music"
1403,A Wedding,1978,1978,2h 5m,Robert Altman,"John Considine,Patricia Resnick,Allan F. Nicholls","Carol Burnett,Desi Arnaz Jr.,Paul Dooley",7.1,"Comedy,Drama"
1404,Who Is Killing the Great Chefs of Europe?,1978,1978,1h 52m,Ted Kotcheff,"Nan Lyons,Ivan Lyons,Peter Stone","George Segal,Jacqueline Bisset,Robert Morley",6.5,"Comedy,Crime,Mystery"
1405,Who'll Stop the Rain,1978,1978,2h 6m,Karel Reisz,"Robert Stone,Judith Rascoe","Nick Nolte,Tuesday Weld,Michael Moriarty",6.7,"Action,Crime,Drama"
1406,The Wiz,1978,,,,,,,
1407,Wolf Lake,1978,,1h,,,,7.5,Horror
1408,Youngblood,1978,1986,1h 50m,Peter Markle,"Peter Markle,John Whitman","Rob Lowe,Cynthia Gibb,Patrick Swayze",6.2,"Drama,Romance,Sport"
1409,Zero to Sixty,1978,1978,1h 41m,Don Weis,"Darren McGavin,Peg Shirley,Judith Bustany","Darren McGavin,Sylvia Miles,Joan Collins",5.0,Comedy
1410,American Boy: A Profile of Steven Prince,1978,1978,55m,Martin Scorsese,"Julia Cameron,Mardik Martin","Steven Prince,Julia Cameron,Mardik Martin",7.3,Documentary
1411,Battlestar Galactica,1978,,TV-14TV-14,,,,8.7,"Action,Adventure,Drama"
1412,Gates of Heaven,1978,1978,1h 25m,,,,7.4,Documentary
1413,Gay USA,1978,1977,,,,,7.3,Documentary
1414,The Last Waltz,1978,1978,1h 57m,Martin Scorsese,Mardik Martin,"Robbie Robertson,Muddy Waters,Neil Young",8.2,"Documentary,Biography,Music"
1415,Let Me Die a Woman,1978,1977,1h 19m,Doris Wishman,Doris Wishman,"Leslie,Deborah Harten,Lisa Carmelle",5.3,Documentary
1416,Maraschino Cherry,1978,,,,,,,
1417,Renaldo and Clara,1978,1978,3h 55m,Bob Dylan,"Bob Dylan,Sam Shepard","Bob Dylan,Sara Dylan,Joan Baez",6.7,"Documentary,Drama,Music"
1418,The Force Beyond,1978,1977,1h 25m,William Sachs,"Barbara Morris Davison,Donn Davison,William Sachs","Orson Welles,Donn Davison,Rosko",6.1,Documentary
1419,The Song of the Canary,1978,1938,,Kenji Mizoguchi,Shuichi Hatamoto,"Hisao Itô,Seizaburô Kawazu,Akira Matsudaira",,Biography
1420,10,1979,1979,2h 2m,Blake Edwards,Blake Edwards,"Dudley Moore,Bo Derek,Julie Andrews",6.1,"Comedy,Romance"
1421,1941,1979,1979,1h 58m,Steven Spielberg,"Robert Zemeckis,Bob Gale,John Milius","John Belushi,Dan Aykroyd,Treat Williams",5.8,"Action,Comedy,War"
1422,Alien,1979,1979,1h 57m,Ridley Scott,"Dan O'Bannon,Ronald Shusett","Sigourney Weaver,Tom Skerritt,John Hurt",8.4,"Horror,Sci-Fi"
1423,The Alien Encounters,1979,,1h 32m,James T. Flocker,James T. Flocker,"Augie Tribach,Matthew Boston,Phil Catalli",5.2,Sci-Fi
1424,All That Jazz,1979,1979,2h 3m,Bob Fosse,"Robert Alan Aurthur,Bob Fosse","Roy Scheider,Jessica Lange,Ann Reinking",7.9,"Drama,Music,Musical"
1425,An Almost Perfect Affair,1979,1979,1h 33m,Michael Ritchie,"Walter Bernstein,Don Petersen,Michael Ritchie","Keith Carradine,Monica Vitti,Raf Vallone",5.3,"Comedy,Romance"
1426,Americathon,1979,1979,1h 26m,Neal Israel,"Phil Proctor,Peter Bergman,Neal Israel","Harvey Korman,Fred Willard,Peter Riegert",4.4,Comedy
1427,The Amityville Horror,1979,2005,1h 30m,Andrew Douglas,"Scott Kosar,Jay Anson,Sandor Stern","Ryan Reynolds,Melissa George,Jimmy Bennett",6.0,Horror
1428,...And Justice for All,1979,1979,1h 59m,Norman Jewison,"Valerie Curtin,Barry Levinson","Al Pacino,Jack Warden,John Forsythe",7.4,"Crime,Drama,Thriller"
1429,Angels' Brigade,1979,1979,1h 37m,Greydon Clark,"Greydon Clark,Alvin L. Fast","Sylvia Anderson,Kieu Chinh,Jacqulin Cole",2.1,"Action,Comedy"
1430,Apocalypse Now,1979,1979,2h 27m,Francis Ford Coppola,"John Milius,Francis Ford Coppola,Michael Herr","Martin Sheen,Marlon Brando,Robert Duvall",8.4,"Drama,Mystery,War"
1431,The Apple Dumpling Gang Rides Again,1979,1979,1h 28m,Vincent McEveety,"Don Tait,Jack M. Bickham","Tim Conway,Don Knotts,Tim Matheson",6.1,"Comedy,Family,Western"
1432,Ashanti,1979,,,,,,,
1433,Avalanche Express,1979,1979,1h 28m,"Mark Robson,Monte Hellman","Abraham Polonsky,Colin Forbes","Lee Marvin,Robert Shaw,Linda Evans",4.9,"Action,Thriller"
1434,Baby Snakes,1979,1979,2h 46m,Frank Zappa,Frank Zappa,"Frank Zappa,Adrian Belew,Tommy Mars",8.1,"Documentary,Comedy,Music"
1435,Being There,1979,1979,2h 10m,Hal Ashby,"Jerzy Kosinski,Robert C. Jones","Peter Sellers,Shirley MacLaine,Melvyn Douglas",8.0,"Comedy,Drama"
1436,The Bell Jar,1979,,,,,,,"Comedy,Drama"
1437,Beneath the Valley of the Ultra-Vixens,1979,1979,1h 33m,Russ Meyer,"Roger Ebert,Russ Meyer","Kitten Natividad,Ann Marie,Ken Kerr",5.6,Comedy
1438,Best Boy,1979,1979,,Ira Wohl,Ira Wohl,"Ira Wohl,Philip Wohl,Zero Mostel",7.9,"Documentary,Biography"
1439,Beyond the Poseidon Adventure,1979,1979,1h 54m,Irwin Allen,"Paul Gallico,Nelson Gidding","Michael Caine,Sally Field,Telly Savalas",4.7,"Action,Adventure"
1440,Birth of The Beatles,1979,1979,,Richard Marquand,"John Kurland,Jacob Eskendar","Stephen MacKenna,Rod Culbertson,John Altman",6.4,"Biography,Drama,Music"
1441,The Black Hole,1979,1979,1h 38m,Gary Nelson,"Jeb Rosebrook,Bob Barbash,Richard H. Landau","Maximilian Schell,Anthony Perkins,Robert Forster",6.0,"Action,Sci-Fi"
1442,The Black Stallion,1979,1979,1h 58m,Carroll Ballard,"Melissa Mathison,Jeanne Rosenberg,William D. Wittliff","Kelly Reno,Mickey Rooney,Teri Garr",7.4,"Adventure,Family,Sport"
1443,Bloodline,1979,,TV-MATV-MA,,,,7.9,"Drama,Thriller"
1444,Boardwalk,1979,1979,,Stephen Verona,"Leigh Chapman,Stephen Verona","Ruth Gordon,Lee Strasberg,Janet Leigh",6.1,Drama
1445,Breaking Away,1979,1979,1h 41m,Peter Yates,Steve Tesich,"Dennis Christopher,Dennis Quaid,Daniel Stern",7.7,"Comedy,Drama,Sport"
1446,The Bugs Bunny/Road Runner Movie,1979,1979,1h 38m,"Chuck Jones,Phil Monroe,Maurice Noble","Michael Maltese,Chuck Jones,John W. Dunn","Mel Blanc,Arthur Q. Bryan,Paul Julian",7.3,"Animation,Comedy,Family"
1447,Butch and Sundance: The Early Days,1979,1979,1h 55m,Richard Lester,"Allan Burns,William Goldman","William Katt,Tom Berenger,Jeff Corey",5.7,"Comedy,Western"
1448,C.H.O.M.P.S.,1979,1979,1h 29m,Don Chaffey,"Dick Robbins,Duane Poole,Joseph Barbera","Wesley Eure,Valerie Bertinelli,Conrad Bain",4.9,"Comedy,Family,Sci-Fi"
1449,California Dreaming,1979,1979,1h 32m,John D. Hancock,Ned Wynn,"Glynnis O'Connor,Seymour Cassel,Dorothy Tristan",5.9,"Comedy,Drama,Romance"
1450,Caligula,1979,1979,2h 36m,Tinto Brass,"Gore Vidal,Malcolm McDowell,Masolino D'Amico","Malcolm McDowell,Peter O'Toole,Helen Mirren",5.4,"Drama,History"
1451,The Cat and the Canary,1979,1978,1h 38m,Radley Metzger,"Radley Metzger,John Willard","Honor Blackman,Michael Callan,Edward Fox",5.7,"Comedy,Mystery,Horror"
1452,The Champ,1979,,,,,,,
1453,Chapter Two,1979,1979,2h 4m,Robert Moore,Neil Simon,"James Caan,Marsha Mason,Joseph Bologna",6.0,"Comedy,Drama,Romance"
1454,Cheerleaders' Wild Weekend,1979,1979,1h 27m,Jeff Werner,"D.W. Gilbert,Jason Williams","Kristine DeBell,Jason Williams,Anthony Lewis",4.6,"Adventure,Crime,Sport"
1455,The Children of Sanchez,1979,1978,2h 6m,Hall Bartlett,"Hall Bartlett,Oscar Lewis,Cesare Zavattini","Anthony Quinn,Dolores del Rio,Lupita Ferrer",6.3,Drama
1456,The China Syndrome,1979,1979,2h 2m,James Bridges,"Mike Gray,T.S. Cook,James Bridges","Jane Fonda,Jack Lemmon,Michael Douglas",7.4,"Drama,Thriller"
1457,City on Fire,1979,2011,1h 53m,Renny Harlin,"Mikko Alanne,David Battle","Rupert Friend,Emmanuelle Chriqui,Richard Coyle",5.5,"Action,Drama,War"
1458,The Concorde ... Airport '79,1979,1979,1h 53m,David Lowell Rich,"Arthur Hailey,Jennings Lang,Eric Roth","Alain Delon,Susan Blakely,Robert Wagner",4.5,"Action,Drama,Thriller"
1459,The Corn Is Green,1979,1945,1h 55m,Irving Rapper,"Casey Robinson,Frank Cavett,Emlyn Williams","Bette Davis,John Dall,Nigel Bruce",7.5,Drama
1460,Cuba,1979,1979,2h 2m,Richard Lester,Charles Wood,"Sean Connery,Brooke Adams,Jack Weston",5.6,"Adventure,Romance,Thriller"
1461,The Disco Godfather,1979,1979,1h 33m,J. Robert Wagoner,"J. Robert Wagoner,Cliff Roquemore","Rudy Ray Moore,Carol Speed,Jimmy Lynch",5.2,"Action,Crime,Drama"
1462,Dracula,1979,1992,2h 8m,Francis Ford Coppola,"Bram Stoker,James V. Hart","Gary Oldman,Winona Ryder,Anthony Hopkins",7.4,"Drama,Fantasy,Horror"
1463,Dreamer,1979,2005,1h 46m,John Gatins,John Gatins,"Kurt Russell,Dakota Fanning,Oded Fehr",6.8,"Drama,Family,Sport"
1464,The Driller Killer,1979,1979,1h 36m,Abel Ferrara,Nicholas St. John,"Abel Ferrara,Carolyn Marz,Baybi Day",5.2,"Drama,Horror,Thriller"
1465,The Electric Horseman,1979,1979,2h 1m,Sydney Pollack,"Robert Garland,Paul Gaer,Shelly Burton","Robert Redford,Jane Fonda,Valerie Perrine",6.4,"Comedy,Drama,Romance"
1466,Escape from Alcatraz,1979,1979,1h 52m,Don Siegel,"J. Campbell Bruce,Richard Tuggle","Clint Eastwood,Patrick McGoohan,Roberts Blossom",7.6,"Action,Biography,Crime"
1467,The Europeans,1979,1979,,James Ivory,"Henry James,Ruth Prawer Jhabvala","Lee Remick,Robin Ellis,Wesley Addy",6.2,"Drama,Romance"
1468,Fast Break,1979,1979,1h 47m,Jack Smight,"Sandor Stern,Marc Kaplan","Gabe Kaplan,Harold Sylvester,Michael Warren",6.1,"Comedy,Sport"
1469,The Fifth Floor,1979,1978,1h 30m,Howard Avedis,"Meyer Dolinsky,Howard Avedis,Marlene Schmidt","Bo Hopkins,Dianne Hull,Patti D'Arbanville",5.1,Thriller
1470,The Fish That Saved Pittsburgh,1979,1979,1h 42m,Gilbert Moses,"David Dashev,Jaison Starkes,Edmond Stevens","Julius Erving,Jonathan Winters,Meadowlark Lemon",5.3,"Comedy,Sport"
1471,Five Days from Home,1979,1978,1h 48m,George Peppard,William Moore,"Sherry Boucher,Neville Brand,Victor Campos",6.0,"Action,Crime,Drama"
1472,A Force of One,1979,1979,1h 30m,Paul Aaron,"Pat E. Johnson,Ernest Tidyman","Jennifer O'Neill,Chuck Norris,Clu Gulager",5.2,"Action,Crime,Drama"
1473,French Postcards,1979,1979,1h 35m,Willard Huyck,"Willard Huyck,Gloria Katz","Miles Chapin,Blanche Baker,David Marshall Grant",5.9,"Comedy,Drama"
1474,The Frisco Kid,1979,1979,1h 59m,Robert Aldrich,"Michael Elias,Frank Shaw","Gene Wilder,Harrison Ford,Ramon Bieri",6.4,"Adventure,Comedy,Drama"
1475,Gal Young 'Un,1979,1979,,Victor Nunez,"Victor Nunez,Marjorie Kinnan Rawlings","Dana Preu,David Peck,J. Smith-Cameron",6.9,Drama
1476,The Glove,1979,,,,,,,
1477,Going in Style,1979,2017,1h 36m,Zach Braff,"Theodore Melfi,Edward Cannon","Michael Caine,Alan Arkin,Ann-Margret",6.6,"Comedy,Crime"
1478,Goldengirl,1979,1979,1h 44m,Joseph Sargent,"John Kohn,Peter Lovesey","James Coburn,Susan Anton,Curd Jürgens",4.7,"Drama,Sci-Fi,Sport"
1479,The Great Santini,1979,1979,1h 55m,Lewis John Carlino,"Pat Conroy,Lewis John Carlino,Herman Raucher","Robert Duvall,Blythe Danner,Michael O'Keefe",7.2,Drama
1480,Hair,1979,1979,2h 1m,Milos Forman,"Gerome Ragni,James Rado,Michael Weller","John Savage,Treat Williams,Beverly D'Angelo",7.6,"Comedy,Drama,Musical"
1481,Hanover Street,1979,1979,1h 49m,Peter Hyams,Peter Hyams,"Harrison Ford,Lesley-Anne Down,Christopher Plummer",6.1,"Action,Adventure,Drama"
1482,Hardcore,1979,2015,1h 36m,Ilya Naishuller,"Ilya Naishuller,Will Stewart","Sharlto Copley,Tim Roth,Haley Bennett",6.7,"Action,Adventure,Sci-Fi"
1483,Head Over Heels,1979,2001,1h 26m,Mark Waters,"John J. Strauss,Ed Decter,David Kidd","Monica Potter,Freddie Prinze Jr.,Shalom Harlow",5.5,"Comedy,Mystery,Romance"
1484,Heartland,1979,,TV-PGTV-PG,,,,8.4,"Drama,Family"
1485,Hot Stuff,1979,1979,1h 31m,Dom DeLuise,"Michael Kane,Donald E. Westlake","Dom DeLuise,Suzanne Pleshette,Jerry Reed",6.5,"Action,Comedy,Crime"
1486,Human Experiments,1979,1979,1h 22m,Gregory Goodell,"Gregory Goodell,Richard Rothstein","Linda Haynes,Geoffrey Lewis,Ellen Travolta",4.3,"Crime,Horror,Thriller"
1487,Hurricane,1979,1999,2h 26m,Norman Jewison,"Rubin 'Hurricane' Carter,Sam Chaiton,Terry Swinton","Denzel Washington,Vicellous Shannon,Deborah Kara Unger",7.6,"Biography,Drama,Sport"
1488,The In-Laws,1979,2003,1h 38m,Andrew Fleming,"Andrew Bergman,Nat Mauldin,Ed Solomon","Albert Brooks,Michael Douglas,Ryan Reynolds",5.8,"Action,Comedy,Thriller"
1489,Jaguar Lives!,1979,1979,1h 30m,Ernest Pintoff,Yabo Yablonsky,"Joe Lewis,Christopher Lee,Donald Pleasence",4.2,Action
1490,The Jerk,1979,1979,1h 34m,Carl Reiner,"Steve Martin,Carl Gottlieb,Michael Elias","Steve Martin,Bernadette Peters,Catlin Adams",7.2,Comedy
1491,Jesus,1979,,TV-PGTV-PG,,,,6.1,"Biography,Drama,History"
1492,"Just You and Me, Kid",1979,1979,1h 35m,Leonard Stern,"Oliver Hailey,Leonard Stern,Tom Lazarus","George Burns,Brooke Shields,Lorraine Gary",6.0,Comedy
1493,Kramer vs. Kramer,1979,1979,1h 45m,Robert Benton,"Avery Corman,Robert Benton","Dustin Hoffman,Meryl Streep,Jane Alexander",7.8,Drama
1494,The Lady Vanishes,1979,1938,1h 36m,Alfred Hitchcock,"Ethel Lina White,Sidney Gilliat,Frank Launder","Margaret Lockwood,Michael Redgrave,Paul Lukas",7.8,"Mystery,Thriller"
1495,La Luna,1979,1979,2h 22m,Bernardo Bertolucci,"Franco Arcalli,Bernardo Bertolucci,Giuseppe Bertolucci","Jill Clayburgh,Matthew Barry,Veronica Lazar",6.5,Drama
1496,Last Embrace,1979,1979,1h 42m,Jonathan Demme,"Murray Teigh Bloom,David Shaber","Roy Scheider,Janet Margolin,John Glover",6.1,"Mystery,Romance,Thriller"
1497,A Little Romance,1979,1979,1h 50m,George Roy Hill,"Allan Burns,Claude Klotz,George Roy Hill","Laurence Olivier,Diane Lane,Thelonious Bernard",7.5,"Adventure,Comedy,Romance"
1498,Lost and Found,1979,2002,1h 28m,Shawn Levy,"Dan Schneider,Brian Robbins","Frankie Muniz,Amanda Bynes,Paul Giamatti",5.5,"Adventure,Comedy,Family"
1499,Love and Bullets,1979,1979,1h 43m,"Stuart Rosenberg,John Huston","Wendell Mayes,John Melson,John Crowther","Charles Bronson,Jill Ireland,Rod Steiger",5.7,"Action,Crime,Drama"
1500,Love At First Bite,1979,1979,1h 36m,Stan Dragoti,"Robert Kaufman,Mark Gindes,Bram Stoker","George Hamilton,Susan Saint James,Richard Benjamin",6.2,"Comedy,Horror"
1501,The Main Event,1979,2020,1h 41m,Jay Karas,"Larry Postel,Zach Lewis,Jim Mahoney","Seth Carr,Tichina Arnold,Adam Pally",4.8,"Action,Comedy,Family"
1502,The Magician of Lublin,1979,1979,1h 54m,Menahem Golan,"Barbara Dana,Menahem Golan,Joseph Gross","Alan Arkin,Louise Fletcher,Valerie Perrine",5.6,Drama
1503,Manhattan,1979,2011,1h 55m,Kenneth Branagh,"Ashley Miller,Zack Stentz,Don Payne","Chris Hemsworth,Anthony Hopkins,Natalie Portman",7.0,"Action,Adventure,Fantasy"
1504,Meteor,1979,2021,1h 24m,Brett Bentman,Brett Bentman,"Robert Keith,Olivia Nash,Thom Hallum",4.0,"Sci-Fi,Thriller"
1505,Moonraker,1979,1979,2h 6m,Lewis Gilbert,"Christopher Wood,Ian Fleming,Gerry Anderson","Roger Moore,Lois Chiles,Michael Lonsdale",6.3,"Action,Adventure,Sci-Fi"
1506,More American Graffiti,1979,1979,1h 50m,Bill Norton,"Bill Norton,George Lucas,Gloria Katz","Candy Clark,Bo Hopkins,Ron Howard",5.3,"Comedy,Drama,War"
1507,Mr. Mike's Mondo Video,1979,1979,1h 15m,Michael O'Donoghue,"Mitch Glazer,Michael O'Donoghue,Emily Prager","Michael O'Donoghue,Dan Aykroyd,Rhonda Coullet",4.9,Comedy
1508,The Muppet Movie,1979,1979,1h 35m,James Frawley,"Jerry Juhl,Jack Burns","Jim Henson,Frank Oz,Jerry Nelson",7.6,"Adventure,Comedy,Family"
1509,Murder by Decree,1979,1979,2h 4m,Bob Clark,"Arthur Conan Doyle,John Hopkins,Elwyn Jones","Christopher Plummer,James Mason,David Hemmings",6.9,"Crime,Mystery,Thriller"
1510,A Nightingale Sang in Berkeley Square,1979,1979,,Ralph Thomas,Guy Elmes,"Richard Jordan,Oliver Tobias,David Niven",5.6,"Comedy,Crime"
1511,Nightwing,1979,1979,1h 45m,Arthur Hiller,"Steve Shagan,Bud Shrake,Martin Cruz Smith","Nick Mancuso,David Warner,Kathryn Harrold",5.1,Horror
1512,Norma Rae,1979,1979,1h 54m,Martin Ritt,"Irving Ravetch,Harriet Frank Jr.","Sally Field,Beau Bridges,Ron Leibman",7.3,Drama
1513,The North Avenue Irregulars,1979,1979,1h 40m,Bruce Bilson,"Don Tait,Albert Fay Hill","Edward Herrmann,Barbara Harris,Susan Clark",6.8,"Action,Comedy,Crime"
1514,North Dallas Forty,1979,1979,1h 59m,Ted Kotcheff,"Peter Gent,Frank Yablans,Ted Kotcheff","Nick Nolte,Charles Durning,Mac Davis",7.0,"Comedy,Drama,Sport"
1515,The Onion Field,1979,1979,2h 2m,Harold Becker,"Joseph Wambaugh,Eric Roth","John Savage,James Woods,Franklyn Seales",6.8,"Crime,Drama"
1516,Over the Edge,1979,1979,1h 35m,Jonathan Kaplan,"Charles S. Haas,Tim Hunter","Matt Dillon,Michael Eric Kramer,Pamela Ludwig",7.4,"Crime,Drama"
1517,Parts: The Clonus Horror,1979,1979,1h 30m,Robert S. Fiveson,"Ron Smith,Bob Sullivan,Myrl A. Schreibman","Peter Graves,Rick DiAngelo,Eugene Robert Glazer",3.9,"Horror,Romance,Sci-Fi"
1518,Penitentiary,1979,1979,1h 39m,Jamaa Fanaka,Jamaa Fanaka,"Leon Isaac Kennedy,Wilbur 'Hi-Fi' White,Thomas M. Pollard",5.7,"Crime,Drama,Sport"
1519,A Perfect Couple,1979,1979,1h 50m,Robert Altman,"Robert Altman,Allan F. Nicholls","Paul Dooley,Marta Heflin,Titos Vandis",5.9,"Comedy,Musical,Romance"
1520,Phantasm,1979,1979,1h 29m,Don Coscarelli,Don Coscarelli,"A. Michael Baldwin,Bill Thornbury,Reggie Bannister",6.7,"Horror,Sci-Fi"
1521,The Prisoner of Zenda,1979,1937,1h 41m,"John Cromwell,W.S. Van Dyke","Anthony Hope,John L. Balderston,Edward E. Rose","Ronald Colman,Madeleine Carroll,C. Aubrey Smith",7.7,"Adventure,Drama,Romance"
1522,The Prize Fighter,1979,1979,1h 39m,Michael Preece,"Tim Conway,John Myhers","Tim Conway,Don Knotts,David Wayne",5.8,Comedy
1523,The Promise,1979,2016,2h 13m,Terry George,"Terry George,Robin Swicord","Oscar Isaac,Charlotte Le Bon,Christian Bale",6.0,"Action,Adventure,Drama"
1524,Promises in the Dark,1979,1979,1h 58m,Jerome Hellman,Loring Mandel,"Marsha Mason,Ned Beatty,Susan Clark",6.5,Drama
1525,Prophecy,1979,1979,1h 42m,John Frankenheimer,David Seltzer,"Talia Shire,Robert Foxworth,Armand Assante",5.5,"Horror,Sci-Fi,Thriller"
1526,The Punk Rock Movie,1979,1978,1h 26m,,,,6.7,"Documentary,Music"
1527,Quintet,1979,1979,1h 58m,Robert Altman,"Frank Barhydt,Robert Altman,Patricia Resnick","Paul Newman,Vittorio Gassman,Fernando Rey",5.1,"Drama,Mystery,Sci-Fi"
1528,Real Life,1979,1979,1h 39m,Albert Brooks,"Monica Mcgowan Johnson,Harry Shearer,Albert Brooks","Dick Haynes,Albert Brooks,Matthew Tobin",7.1,Comedy
1529,Rich Kids,1979,1979,1h 41m,Robert M. Young,Judith Ross,"Trini Alvarado,Jeremy Levy,Kathryn Walker",6.5,"Comedy,Drama"
1530,Richard Pryor: Live in Concert,1979,1979,1h 18m,Jeff Margolis,"Paul Mooney,Richard Pryor","Richard Pryor,Patti LaBelle,Huey P. Newton",8.1,"Documentary,Comedy"
1531,Rock 'n' Roll High School,1979,1979,1h 33m,"Allan Arkush,Joe Dante","Richard Whitley,Russ Dvonch,Joseph McBride","P.J. Soles,Vincent Van Patten,Clint Howard",6.7,"Comedy,Music"
1532,Rocky II,1979,1979,1h 59m,Sylvester Stallone,Sylvester Stallone,"Sylvester Stallone,Talia Shire,Burt Young",7.3,"Drama,Sport"
1533,Roller Boogie,1979,1979,1h 44m,Mark L. Lester,"Barry Schneider,Irwin Yablans","Linda Blair,Jim Bray,Beverly Garland",4.6,"Comedy,Drama,Music"
1534,The Rose,1979,,,,,,,
1535,Saint Jack,1979,1979,1h 52m,Peter Bogdanovich,"Howard Sackler,Paul Theroux,Peter Bogdanovich","Ben Gazzara,Denholm Elliott,James Villiers",7.0,Drama
1536,Savage Water,1979,1979,1h 39m,Paul Kiener,Kipp Boden,"Gil Van Waggoner,Ron Berger,Bridget Agnew",3.2,"Adventure,Horror"
1537,Scavenger Hunt,1979,1979,1h 56m,Michael Schultz,"Steven Vail,John Thomson,Gerry Woolery","Richard Benjamin,James Coco,Scatman Crothers",5.9,Comedy
1538,The Seduction of Joe Tynan,1979,1979,1h 48m,Jerry Schatzberg,Alan Alda,"Alan Alda,Barbara Harris,Meryl Streep",6.1,Drama
1539,Seven,1979,1995,2h 7m,David Fincher,Andrew Kevin Walker,"Morgan Freeman,Brad Pitt,Kevin Spacey",8.6,"Crime,Drama,Mystery"
1540,Siddhartha,1979,1972,1h 29m,Conrad Rooks,"Hermann Hesse,Conrad Rooks,Natacha Ullman","Shashi Kapoor,Simi Garewal,Romesh Sharma",6.7,"Drama,Mystery"
1541,"Skatetown, U.S.A.",1979,1979,1h 38m,William A. Levey,"Nick Castle,William A. Levey,Lorin Dreyfuss","Scott Baio,Flip Wilson,Ron Palillo",4.9,Comedy
1542,Something Short of Paradise,1979,1979,1h 27m,David Helpern,Fred Barron,"Susan Sarandon,David Steinberg,Jean-Pierre Aumont",4.6,"Drama,Comedy,Romance"
1543,Star Trek: The Motion Picture,1979,1979,2h 12m,Robert Wise,"Gene Roddenberry,Harold Livingston,Alan Dean Foster","William Shatner,Leonard Nimoy,DeForest Kelley",6.4,"Adventure,Mystery,Sci-Fi"
1544,Starting Over,1979,2007,1h 33m,"Bernie Goldmann,Melisa Wallack",Melisa Wallack,"Aaron Eckhart,Jessica Alba,Logan Lerman",6.2,"Comedy,Drama"
1545,Sunburn,1979,1979,1h 39m,Richard C. Sarafian,"James Booth,John Daly,Stanley Ellin","Farrah Fawcett,Charles Grodin,Art Carney",5.2,"Action,Comedy,Crime"
1546,Take Down,1979,2016,1h 47m,Jim Gillespie,Alexander Ignon,"Jeremy Sumpter,Phoebe Tonkin,Hari Dhillon",5.5,"Action,Adventure,Crime"
