,name,year,idbm_year,length,director_1,gender_director,writer_1,writer_2,writer_3,star_1,star_2,star_3,genre_1,genre_2,genre_3,rating
4648,Balto,1995,1995,1h 18m,Simon Wells,1,Cliff Ruby,Elana Lesser,David Steven Cohen,Kevin Bacon,Bob Hoskins,Bridget Fonda,Animation,Adventure,Drama,7.1
4649,Bang,1995,,1h,,1,,,,,,,Crime,Drama,Mystery,6.7
4650,The Basketball Diaries,1995,1995,1h 42m,Scott Kalvert,1,Jim Carroll,Bryan Goluboff,,Leonardo DiCaprio,Lorraine Bracco,Marilyn Sokol,Biography,Crime,Drama,7.3
4651,Batman Forever,1995,1995,2h 1m,Joel Schumacher,1,Bob Kane,Lee Batchler,Janet Scott Batchler,Val Kilmer,Tommy Lee Jones,Jim Carrey,Action,Adventure,,5.4
4652,Baywatch the Movie: Forbidden Paradise,1995,,PGPG,Douglas Schwartz,1,Deborah Schwartz,,,David Hasselhoff,Alexandra Paul,Pamela Anderson,Action,Drama,,4.9
4653,Before Sunrise,1995,1995,1h 41m,Richard Linklater,1,Richard Linklater,Kim Krizan,,Ethan Hawke,Julie Delpy,Andrea Eckert,Drama,Romance,,8.1
4654,Best of the Best 3: No Turning Back,1995,1995,1h 30m,Phillip Rhee,1,Barry Gray,Deborah Scott,,Phillip Rhee,Christopher McDonald,Gina Gershon,Action,Crime,Drama,4.8
4655,Beyond Rangoon,1995,1995,1h 40m,John Boorman,1,Alex Lasker,Bill Rubenstein,,Patricia Arquette,U Aung Ko,Frances McDormand,Action,Adventure,Drama,6.6
4656,The Big Green,1995,1995,1h 40m,Holly Goldberg Sloan,0,Holly Goldberg Sloan,,,Steve Guttenberg,Olivia d'Abo,Jay O. Sanders,Comedy,Family,Sport,5.6
4657,Billy Madison,1995,1995,1h 29m,Tamra Davis,0,Tim Herlihy,Adam Sandler,,Adam Sandler,Darren McGavin,Bridgette Wilson-Sampras,Comedy,,,6.4
4658,Black Scorpion,1995,,TV-PGTV-PG,,1,,,,,,,Action,Crime,Drama,6.2
4659,Bloodfist VI: Ground Zero,1995,,RR,Rick Jacobson,1,Brendan Broderick,Rob Kerchner,,Don Wilson,Marcus Aurelius,Michael Blanks,Action,,,4.7
